iter	Passed	Remaining
0	12	7915
1	24	7608
2	36	7639
3	49	7656
4	64	8068
5	78	8172
6	92	8205
7	106	8243
8	120	8307
9	136	8422
10	151	8460
11	165	8471
12	182	8598
13	201	8821
14	219	8949
15	235	8998
16	247	8879
17	264	8964
18	282	9047
19	304	9241
20	319	9207
21	332	9148
22	348	9144
23	365	9171
24	380	9153
25	397	9178
26	413	9184
27	428	9175
28	446	9214
29	463	9218
30	480	9233
31	492	9164
32	506	9112
33	521	9094
34	535	9051
35	549	9018
36	561	8957
37	576	8943
38	591	8912
39	602	8835
40	614	8785
41	630	8783
42	642	8731
43	655	8690
44	668	8650
45	691	8740
46	705	8704
47	716	8645
48	730	8615
49	744	8596
50	758	8568
51	770	8515
52	783	8480
53	795	8440
54	807	8393
55	822	8386
56	834	8345
57	845	8294
58	859	8269
59	869	8219
60	884	8204
61	896	8168
62	908	8134
63	923	8124
64	936	8095
65	948	8065
66	960	8028
67	973	8001
68	987	7986
69	997	7936
70	1009	7907
71	1019	7856
72	1028	7805
73	1037	7754
74	1049	7723
75	1061	7694
76	1073	7669
77	1086	7649
78	1099	7629
79	1113	7613
80	1124	7576
81	1134	7538
82	1146	7512
83	1156	7474
84	1169	7457
85	1180	7425
86	1192	7402
87	1204	7374
88	1215	7348
89	1228	7332
90	1241	7312
91	1252	7285
92	1266	7271
93	1277	7244
94	1290	7226
95	1304	7213
96	1316	7192
97	1328	7169
98	1341	7157
99	1355	7140
100	1368	7125
101	1381	7110
102	1393	7091
103	1406	7071
104	1420	7059
105	1432	7041
106	1446	7027
107	1460	7017
108	1471	6995
109	1483	6971
110	1499	6970
111	1509	6941
112	1521	6918
113	1532	6897
114	1543	6873
115	1557	6860
116	1570	6847
117	1582	6827
118	1595	6811
119	1606	6786
120	1616	6760
121	1625	6729
122	1636	6703
123	1646	6679
124	1659	6664
125	1670	6641
126	1682	6622
127	1692	6599
128	1705	6583
129	1715	6558
130	1726	6538
131	1738	6520
132	1751	6506
133	1764	6491
134	1775	6469
135	1789	6459
136	1799	6437
137	1810	6413
138	1822	6399
139	1834	6380
140	1843	6354
141	1858	6346
142	1868	6324
143	1880	6308
144	1891	6287
145	1902	6269
146	1913	6249
147	1924	6227
148	1935	6208
149	1948	6194
150	1958	6172
151	1970	6157
152	1982	6142
153	1992	6118
154	2005	6106
155	2018	6093
156	2027	6068
157	2039	6053
158	2048	6030
159	2059	6011
160	2069	5990
161	2082	5977
162	2097	5971
163	2107	5948
164	2117	5929
165	2128	5910
166	2139	5893
167	2150	5875
168	2161	5857
169	2171	5837
170	2181	5817
171	2192	5799
172	2202	5778
173	2214	5765
174	2225	5746
175	2235	5728
176	2244	5706
177	2259	5699
178	2271	5685
179	2283	5670
180	2296	5658
181	2310	5648
182	2323	5636
183	2334	5619
184	2348	5612
185	2359	5595
186	2375	5589
187	2387	5574
188	2397	5556
189	2409	5542
190	2421	5527
191	2432	5511
192	2443	5494
