 ,Label,Area,Perim.,Major,Minor,Angle,Circ.,IntDen,RawIntDen,AR,Round,Solidity
1,7 pat ctrl KI67 (561) 60X_0001_C001T001_colony_2.tiff,3550,225.480,73.769,61.272,88.982,0.877,905250,905250,1.204,0.831,0.974
2,7 pat ctrl KI67 (561) 60X_0001_C001T001_colony_6.tiff,4648,257.279,87.419,67.697,83.819,0.882,1185240,1185240,1.291,0.774,0.979
3,7 pat ctrl KI67 (561) 60X_0001_C001T001_colony_8.tiff,3221,217.137,75.919,54.020,6.524,0.858,821355,821355,1.405,0.712,0.967
4,7 pat ctrl KI67 (561) 60X_C001T001_colony_10.tiff,4236,247.723,82.858,65.093,174.645,0.867,1080180,1080180,1.273,0.786,0.970
5,7 pat ctrl KI67 (561) 60X_C001T001_colony_11.tiff,4047,246.693,85.233,60.455,34.562,0.836,1031985,1031985,1.410,0.709,0.967
6,7 pat ctrl KI67 (561) 60X_C001T001_colony_2.tiff,4207,243.865,82.521,64.911,116.046,0.889,1072785,1072785,1.271,0.787,0.976
7,7 pat ctrl KI67 (561) 60X_C001T001_colony_3.tiff,4674,258.492,92.180,64.559,138.267,0.879,1191870,1191870,1.428,0.700,0.979
8,7 pat ctrl KI67 (561) 60X_C001T001_colony_4.tiff,4956,263.078,84.213,74.931,141.348,0.900,1263780,1263780,1.124,0.890,0.978
9,7 pat ctrl KI67 (561) 60X_C001T001_colony_5.tiff,4451,264.978,91.241,62.112,152.974,0.797,1135005,1135005,1.469,0.681,0.952
10,7 pat ctrl KI67 (561) 60X_C001T001_colony_6.tiff,4482,251.037,82.042,69.558,167.898,0.894,1142910,1142910,1.179,0.848,0.978
11,7 pat ctrl KI67 (561) 60X_C001T001_colony_7.tiff,7125,330.434,120.894,75.040,19.152,0.820,1816875,1816875,1.611,0.621,0.976
12,7 pat ctrl KI67 (561) 60X_C001T001_colony_8.tiff,4455,255.078,86.396,65.655,23.612,0.860,1136025,1136025,1.316,0.760,0.966
13,7 pat ctrl KI67 (561)_0001_C001T001_colony_10.tiff,2274,183.137,65.465,44.227,38.361,0.852,579870,579870,1.480,0.676,0.961
14,7 pat ctrl KI67 (561)_0001_C001T001_colony_11.tiff,2399,186.066,66.464,45.958,47.414,0.871,611745,611745,1.446,0.691,0.968
15,7 pat ctrl KI67 (561)_0001_C001T001_colony_13.tiff,1798,159.681,54.241,42.206,125.560,0.886,458490,458490,1.285,0.778,0.968
16,7 pat ctrl KI67 (561)_0001_C001T001_colony_14.tiff,1668,157.782,52.896,40.150,18.391,0.842,425340,425340,1.317,0.759,0.957
17,7 pat ctrl KI67 (561)_0001_C001T001_colony_15.tiff,2442,189.723,67.822,45.844,26.149,0.853,622710,622710,1.479,0.676,0.965
18,7 pat ctrl KI67 (561)_0001_C001T001_colony_16.tiff,1670,157.196,56.363,37.725,82.632,0.849,425850,425850,1.494,0.669,0.962
19,7 pat ctrl KI67 (561)_0001_C001T001_colony_2.tiff,1948,166.853,57.140,43.407,51.982,0.879,496740,496740,1.316,0.760,0.972
20,7 pat ctrl KI67 (561)_0001_C001T001_colony_4.tiff,1796,161.439,56.756,40.291,73.069,0.866,457980,457980,1.409,0.710,0.968
21,7 pat ctrl KI67 (561)_0001_C001T001_colony_6.tiff,2506,191.581,67.331,47.389,18.437,0.858,639030,639030,1.421,0.704,0.966
22,7 pat ctrl KI67 (561)_0001_C001T001_colony_7.tiff,1847,168.167,59.623,39.442,68.752,0.821,470985,470985,1.512,0.662,0.951
23,7 pat ctrl KI67 (561)_0001_C001T001_colony_8.tiff,2061,172.167,58.305,45.007,160.584,0.874,525555,525555,1.295,0.772,0.964
24,7 pat ctrl KI67 (561)_0001_C001T001_colony_9.tiff,1956,165.338,56.265,44.263,49.238,0.899,498780,498780,1.271,0.787,0.970
25,7 pat ctrl KI67 (561)_0002_C001T001_colony_10.tiff,1942,169.681,59.816,41.338,103.200,0.848,495210,495210,1.447,0.691,0.963
26,7 pat ctrl KI67 (561)_0002_C001T001_colony_11.tiff,2288,186.267,67.056,43.444,74.065,0.829,583440,583440,1.543,0.648,0.966
27,7 pat ctrl KI67 (561)_0002_C001T001_colony_12.tiff,1920,168.267,59.291,41.231,107.932,0.852,489600,489600,1.438,0.695,0.966
28,7 pat ctrl KI67 (561)_0002_C001T001_colony_13.tiff,1935,166.167,57.176,43.090,118.072,0.881,493425,493425,1.327,0.754,0.966
29,7 pat ctrl KI67 (561)_0002_C001T001_colony_15.tiff,2066,173.338,58.593,44.895,66.288,0.864,526830,526830,1.305,0.766,0.963
30,7 pat ctrl KI67 (561)_0002_C001T001_colony_17.tiff,2600,194.752,67.859,48.784,92.888,0.861,663000,663000,1.391,0.719,0.966
31,7 pat ctrl KI67 (561)_0002_C001T001_colony_18.tiff,2048,170.024,55.976,46.584,88.986,0.890,522240,522240,1.202,0.832,0.967
32,7 pat ctrl KI67 (561)_0002_C001T001_colony_2.tiff,2309,183.966,69.041,42.582,133.496,0.857,588795,588795,1.621,0.617,0.973
33,7 pat ctrl KI67 (561)_0002_C001T001_colony_3.tiff,1956,168.853,58.386,42.655,82.320,0.862,498780,498780,1.369,0.731,0.962
34,7 pat ctrl KI67 (561)_0002_C001T001_colony_4.tiff,1624,154.953,54.877,37.679,103.501,0.850,414120,414120,1.456,0.687,0.965
35,7 pat ctrl KI67 (561)_0002_C001T001_colony_5.tiff,2139,172.995,57.837,47.088,140.237,0.898,545445,545445,1.228,0.814,0.972
36,7 pat ctrl KI67 (561)_0002_C001T001_colony_6.tiff,2889,200.894,69.209,53.149,133.426,0.900,736695,736695,1.302,0.768,0.977
37,7 pat ctrl KI67 (561)_0002_C001T001_colony_7.tiff,1784,160.024,53.997,42.066,157.838,0.875,454920,454920,1.284,0.779,0.964
38,7 pat ctrl KI67 (561)_0002_C001T001_colony_8.tiff,2279,180.995,61.911,46.869,104.953,0.874,581145,581145,1.321,0.757,0.968
39,7 pat ctrl KI67 (561)_0002_C001T001_colony_9.tiff,1236,131.296,45.124,34.876,34.686,0.901,315180,315180,1.294,0.773,0.968
40,7 pat ctrl KI67 (561)_0003_C001T001_colony_12.tiff,1873,164.024,55.117,43.268,179.556,0.875,477615,477615,1.274,0.785,0.962
41,7 pat ctrl KI67 (561)_0003_C001T001_colony_13.tiff,2169,176.167,57.347,48.157,113.578,0.878,553095,553095,1.191,0.840,0.965
42,7 pat ctrl KI67 (561)_0003_C001T001_colony_14.tiff,2363,183.238,63.029,47.734,62.808,0.884,602565,602565,1.320,0.757,0.968
43,7 pat ctrl KI67 (561)_0003_C001T001_colony_15.tiff,3471,219.723,71.783,61.566,78.863,0.903,885105,885105,1.166,0.858,0.977
44,7 pat ctrl KI67 (561)_0003_C001T001_colony_17.tiff,2262,180.752,63.361,45.455,105.342,0.870,576810,576810,1.394,0.717,0.972
45,7 pat ctrl KI67 (561)_0003_C001T001_colony_18.tiff,1748,156.510,54.265,41.014,40.939,0.897,445740,445740,1.323,0.756,0.969
46,7 pat ctrl KI67 (561)_0003_C001T001_colony_19.tiff,2283,180.409,63.982,45.432,148.928,0.881,582165,582165,1.408,0.710,0.972
47,7 pat ctrl KI67 (561)_0003_C001T001_colony_20.tiff,2632,195.823,67.922,49.338,56.186,0.863,671160,671160,1.377,0.726,0.970
48,7 pat ctrl KI67 (561)_0003_C001T001_colony_21.tiff,1835,168.894,63.144,37.001,43.769,0.808,467925,467925,1.707,0.586,0.957
49,7 pat ctrl KI67 (561)_0003_C001T001_colony_22.tiff,2675,193.137,63.695,53.472,58.830,0.901,682125,682125,1.191,0.840,0.974
50,7 pat ctrl KI67 (561)_0003_C001T001_colony_23.tiff,1776,158.024,53.641,42.156,42.016,0.894,452880,452880,1.272,0.786,0.969
51,7 pat ctrl KI67 (561)_0003_C001T001_colony_24.tiff,1909,167.924,59.129,41.107,68.550,0.851,486795,486795,1.438,0.695,0.960
52,7 pat ctrl KI67 (561)_0003_C001T001_colony_25.tiff,1974,166.853,55.135,45.586,21.037,0.891,503370,503370,1.209,0.827,0.970
53,7 pat ctrl KI67 (561)_0003_C001T001_colony_26.tiff,1802,158.510,53.658,42.759,29.210,0.901,459510,459510,1.255,0.797,0.969
54,7 pat ctrl KI67 (561)_0003_C001T001_colony_27.tiff,2029,171.823,58.398,44.238,41.012,0.864,517395,517395,1.320,0.758,0.963
55,7 pat ctrl KI67 (561)_0003_C001T001_colony_28.tiff,2251,181.095,63.917,44.841,7.448,0.863,574005,574005,1.425,0.702,0.972
56,7 pat ctrl KI67 (561)_0003_C001T001_colony_29.tiff,1673,156.024,53.877,39.537,21.361,0.864,426615,426615,1.363,0.734,0.963
57,7 pat ctrl KI67 (561)_0003_C001T001_colony_5.tiff,2351,186.995,66.283,45.161,24.708,0.845,599505,599505,1.468,0.681,0.965
58,7 pat ctrl KI67 (561)_0003_C001T001_colony_6.tiff,1933,175.095,67.167,36.643,71.728,0.792,492915,492915,1.833,0.546,0.966
59,7 pat ctrl KI67 (561)_0003_C001T001_colony_7.tiff,1743,156.368,53.565,41.431,94.524,0.896,444465,444465,1.293,0.773,0.970
60,7 pat ctrl KI67 (561)_0003_C001T001_colony_8.tiff,2103,171.581,56.042,47.779,146.641,0.898,536265,536265,1.173,0.853,0.969
