 ,Label,Area,Perim.,Circ.,IntDen,RawIntDen,AR,Round,Solidity
1,7 pat p30 7 day od 40x 1_colony_10.tiff,2685,241.664,0.578,684675,684675,1.572,0.636,0.855
2,7 pat p30 7 day od 40x 1_colony_11.tiff,1953,174.752,0.804,498015,498015,1.647,0.607,0.958
3,7 pat p30 7 day od 40x 1_colony_12.tiff,1198,144.267,0.723,305490,305490,1.604,0.624,0.889
4,7 pat p30 7 day od 40x 1_colony_13.tiff,1555,152.510,0.840,396525,396525,1.174,0.852,0.932
5,7 pat p30 7 day od 40x 1_colony_14.tiff,1897,180.409,0.732,483735,483735,1.907,0.524,0.944
6,7 pat p30 7 day od 40x 1_colony_15.tiff,5467,294.049,0.795,1394085,1394085,1.459,0.685,0.962
7,7 pat p30 7 day od 40x 1_colony_16.tiff,1409,181.823,0.536,359295,359295,1.860,0.538,0.810
8,7 pat p30 7 day od 40x 1_colony_17.tiff,2601,201.622,0.804,663255,663255,1.533,0.652,0.946
9,7 pat p30 7 day od 40x 1_colony_18.tiff,409,81.397,0.776,104295,104295,1.603,0.624,0.914
10,7 pat p30 7 day od 40x 1_colony_3.tiff,2047,232.995,0.474,521985,521985,1.555,0.643,0.807
11,7 pat p30 7 day od 40x 1_colony_5.tiff,1483,181.480,0.566,378165,378165,1.404,0.712,0.792
12,7 pat p30 7 day od 40x 1_colony_6.tiff,1622,159.539,0.801,413610,413610,1.680,0.595,0.946
13,7 pat p30 7 day od 40x 1_colony_7.tiff,2224,187.924,0.791,567120,567120,1.378,0.726,0.939
14,7 pat p30 7 day od 40x 1_colony_8.tiff,355,73.841,0.818,90525,90525,1.084,0.923,0.907
15,7 pat p30 7 day od 40x 1_colony_9.tiff,2184,180.510,0.842,556920,556920,1.504,0.665,0.966
16,7 pat p30 7 day od 40x 2_colony_22.tiff,731,107.539,0.794,186405,186405,1.546,0.647,0.908
17,7 pat p30 7 day od 40x 2_colony_23.tiff,819,112.125,0.819,208845,208845,1.450,0.690,0.934
18,7 pat p30 7 day od 40x 2_colony_24.tiff,1451,158.853,0.723,370005,370005,1.649,0.606,0.902
19,7 pat p30 7 day od 40x 2_colony_25.tiff,1681,157.924,0.847,428655,428655,1.314,0.761,0.957
20,7 pat p30 7 day od 40x 2_colony_26.tiff,1446,152.510,0.781,368730,368730,1.365,0.732,0.934
21,7 pat p30 7 day od 40x 2_colony_27.tiff,1379,141.539,0.865,351645,351645,1.104,0.906,0.955
22,7 pat p30 7 day od 40x 2_colony_28.tiff,4492,264.978,0.804,1145460,1145460,1.314,0.761,0.956
23,7 pat p30 7 day od 40x 2_colony_29.tiff,623,110.225,0.644,158865,158865,2.092,0.478,0.884
24,7 pat p30 7 day od 40x 2_colony_30.tiff,2546,192.894,0.860,649230,649230,1.112,0.899,0.962
25,7 pat p30 7 day od 40x 3_colony_34.tiff,4132,251.279,0.822,1053660,1053660,1.547,0.646,0.968
26,7 pat p30 7 day od 40x 3_colony_35.tiff,3469,221.966,0.885,884595,884595,1.191,0.840,0.970
27,7 pat p30 7 day od 40x 3_colony_36.tiff,450,80.669,0.869,114750,114750,1.437,0.696,0.944
28,7 pat p30 7 day od 40x 3_colony_37.tiff,3694,271.421,0.630,941970,941970,2.130,0.470,0.901
29,7 pat p30 7 day od 40x 3_colony_38.tiff,3601,236.108,0.812,918255,918255,1.310,0.763,0.954
30,7 pat p30 7 day od 40x 3_colony_39.tiff,4685,256.593,0.894,1194675,1194675,1.086,0.921,0.976
31,7 pat p30 7 day od 40x 3_colony_40.tiff,3401,219.865,0.884,867255,867255,1.073,0.932,0.971
32,7 pat p30 7 day od 40x 3_colony_41.tiff,2804,202.794,0.857,715020,715020,1.206,0.829,0.953
33,7 pat p30 7 day od 40x 3_colony_42.tiff,1506,146.610,0.880,384030,384030,1.259,0.794,0.960
34,7 pat p30 7 day od 40x 3_colony_43.tiff,2850,206.167,0.843,726750,726750,1.536,0.651,0.973
35,7 pat p30 7 day od 40x 3_colony_44.tiff,3522,223.380,0.887,898110,898110,1.114,0.897,0.974
36,7 pat p30 7 day od 40x 3_colony_45.tiff,3535,227.966,0.855,901425,901425,1.379,0.725,0.971
37,7 pat p30 7 day od 40x 3_colony_46.tiff,1940,169.338,0.850,494700,494700,1.394,0.717,0.962
38,7 pat p30 7 day od 40x 3_colony_47.tiff,2624,196.066,0.858,669120,669120,1.297,0.771,0.964
39,7 pat p30 7 day od 40x 3_colony_48.tiff,2447,193.480,0.821,623985,623985,1.562,0.640,0.962
40,7 pat p30 7 day od 40x 3_colony_49.tiff,2491,191.338,0.855,635205,635205,1.370,0.730,0.969
41,7 pat p30 7 day od 40x 3_colony_50.tiff,2644,193.480,0.888,674220,674220,1.126,0.888,0.969
42,7 pat p30 7 day od 40x 3_colony_51.tiff,3310,217.380,0.880,844050,844050,1.198,0.835,0.973
43,7 pat p30 7 day od 40x 3_colony_52.tiff,2834,205.966,0.839,722670,722670,1.108,0.902,0.953
44,7 pat p30 7 day od 40x 3_colony_53.tiff,2651,195.480,0.872,676005,676005,1.290,0.775,0.969
45,7 pat p30 7 day od 40x 3_colony_54.tiff,2824,202.409,0.866,720120,720120,1.381,0.724,0.972
46,7 pat p30 7 day od 40x 3_colony_55.tiff,3350,221.480,0.858,854250,854250,1.377,0.726,0.972
47,7 pat p30 7 day od 40x 3_colony_56.tiff,4530,257.179,0.861,1155150,1155150,1.411,0.709,0.975
48,7 pat p30 7 day od 40x 3_colony_57.tiff,2527,194.267,0.841,644385,644385,1.227,0.815,0.958
49,7 pat p30 7 day od 40x 3_colony_58.tiff,2174,180.409,0.839,554370,554370,1.300,0.769,0.954
50,7 pat p30 7 day od 40x 3_colony_59.tiff,3215,217.380,0.855,819825,819825,1.499,0.667,0.972
