 ,Label,Area,Perim.,Circ.,IntDen,RawIntDen,AR,Round,Solidity
1,7 pat p30 96h 3 day ctrl 10x 1_DAPI_colony_1.tiff,1759,155.095,0.919,448545,448545,1.188,0.842,0.973
2,7 pat p30 96h 3 day ctrl 10x 1_DAPI_colony_10.tiff,2401,185.480,0.877,612255,612255,1.289,0.776,0.970
3,7 pat p30 96h 3 day ctrl 10x 1_DAPI_colony_11.tiff,1898,165.196,0.874,483990,483990,1.460,0.685,0.972
4,7 pat p30 96h 3 day ctrl 10x 1_DAPI_colony_12.tiff,1967,167.782,0.878,501585,501585,1.445,0.692,0.974
5,7 pat p30 96h 3 day ctrl 10x 1_DAPI_colony_14.tiff,2472,190.167,0.859,630360,630360,1.518,0.659,0.975
6,7 pat p30 96h 3 day ctrl 10x 1_DAPI_colony_15.tiff,1859,165.338,0.855,474045,474045,1.464,0.683,0.964
7,7 pat p30 96h 3 day ctrl 10x 1_DAPI_colony_16.tiff,2311,179.681,0.900,589305,589305,1.157,0.864,0.974
8,7 pat p30 96h 3 day ctrl 10x 1_DAPI_colony_17.tiff,2249,177.439,0.898,573495,573495,1.221,0.819,0.975
9,7 pat p30 96h 3 day ctrl 10x 1_DAPI_colony_18.tiff,1541,145.439,0.915,392955,392955,1.139,0.878,0.968
10,7 pat p30 96h 3 day ctrl 10x 1_DAPI_colony_19.tiff,960,118.569,0.858,244800,244800,1.435,0.697,0.958
11,7 pat p30 96h 3 day ctrl 10x 1_DAPI_colony_2.tiff,2073,176.853,0.833,528615,528615,1.603,0.624,0.969
12,7 pat p30 96h 3 day ctrl 10x 1_DAPI_colony_3.tiff,1841,161.439,0.888,469455,469455,1.209,0.827,0.971
13,7 pat p30 96h 3 day ctrl 10x 1_DAPI_colony_4.tiff,2570,190.894,0.886,655350,655350,1.288,0.776,0.970
14,7 pat p30 96h 3 day ctrl 10x 1_DAPI_colony_5.tiff,1767,157.095,0.900,450585,450585,1.157,0.864,0.966
15,7 pat p30 96h 3 day ctrl 10x 1_DAPI_colony_6.tiff,1870,160.853,0.908,476850,476850,1.211,0.826,0.972
16,7 pat p30 96h 3 day ctrl 10x 1_DAPI_colony_7.tiff,3353,217.966,0.887,855015,855015,1.188,0.842,0.974
17,7 pat p30 96h 3 day ctrl 10x 1_DAPI_colony_9.tiff,2986,206.551,0.880,761430,761430,1.204,0.830,0.974
18,7 pat p30 96h 3 day ctrl 10x 2_DAPI_colony_20.tiff,1972,172.853,0.829,502860,502860,1.569,0.637,0.965
19,7 pat p30 96h 3 day ctrl 10x 2_DAPI_colony_21.tiff,3065,207.723,0.893,781575,781575,1.235,0.810,0.974
20,7 pat p30 96h 3 day ctrl 10x 2_DAPI_colony_22.tiff,1809,157.681,0.914,461295,461295,1.195,0.837,0.970
21,7 pat p30 96h 3 day ctrl 10x 2_DAPI_colony_24.tiff,2579,192.551,0.874,657645,657645,1.241,0.806,0.969
22,7 pat p30 96h 3 day ctrl 10x 2_DAPI_colony_26.tiff,2500,190.309,0.867,637500,637500,1.435,0.697,0.971
23,7 pat p30 96h 3 day ctrl 10x 2_DAPI_colony_27.tiff,1718,158.610,0.858,438090,438090,1.373,0.729,0.965
24,7 pat p30 96h 3 day ctrl 10x 2_DAPI_colony_28.tiff,1696,154.267,0.896,432480,432480,1.222,0.818,0.962
25,7 pat p30 96h 3 day ctrl 10x 2_DAPI_colony_29.tiff,3170,213.723,0.872,808350,808350,1.403,0.713,0.974
26,7 pat p30 96h 3 day ctrl 10x 2_DAPI_colony_30.tiff,2314,183.924,0.860,590070,590070,1.482,0.675,0.971
27,7 pat p30 96h 3 day ctrl 10x 2_DAPI_colony_31.tiff,2606,192.167,0.887,664530,664530,1.041,0.960,0.971
28,7 pat p30 96h 3 day ctrl 10x 2_DAPI_colony_32.tiff,1817,161.681,0.873,463335,463335,1.349,0.741,0.965
29,7 pat p30 96h 3 day ctrl 10x 2_DAPI_colony_33.tiff,1882,163.439,0.885,479910,479910,1.288,0.777,0.968
30,7 pat p30 96h 3 day ctrl 10x 3_DAPI_colony_34.tiff,4533,252.593,0.893,1155915,1155915,1.054,0.948,0.977
31,7 pat p30 96h 3 day ctrl 10x 3_DAPI_colony_35.tiff,3390,220.551,0.876,864450,864450,1.309,0.764,0.975
32,7 pat p30 96h 3 day ctrl 10x 3_DAPI_colony_36.tiff,2072,173.681,0.863,528360,528360,1.408,0.710,0.969
33,7 pat p30 96h 3 day ctrl 10x 3_DAPI_colony_37.tiff,3285,216.936,0.877,837675,837675,1.374,0.728,0.973
34,7 pat p30 96h 3 day ctrl 10x 3_DAPI_colony_38.tiff,2256,181.238,0.863,575280,575280,1.470,0.680,0.973
35,7 pat p30 96h 3 day ctrl 10x 3_DAPI_colony_39.tiff,2443,184.995,0.897,622965,622965,1.234,0.810,0.973
36,7 pat p30 96h 3 day ctrl 10x 3_DAPI_colony_40.tiff,2623,191.723,0.897,668865,668865,1.184,0.845,0.973
37,7 pat p30 96h 3 day ctrl 10x 3_DAPI_colony_41.tiff,2023,170.995,0.869,515865,515865,1.412,0.708,0.966
38,7 pat p30 96h 3 day ctrl 10x 3_DAPI_colony_42.tiff,2808,203.966,0.848,716040,716040,1.506,0.664,0.970
39,7 pat p30 96h 3 day ctrl 10x 3_DAPI_colony_43.tiff,2565,192.409,0.871,654075,654075,1.315,0.760,0.971
40,7 pat p30 96h 3 day ctrl 10x 3_DAPI_colony_44.tiff,2104,172.267,0.891,536520,536520,1.129,0.885,0.967
41,7 pat p30 96h 3 day ctrl 10x 3_DAPI_colony_45.tiff,2844,208.894,0.819,725220,725220,1.637,0.611,0.966
42,7 pat p30 96h 3 day ctrl 10x 3_DAPI_colony_46.tiff,3675,227.622,0.891,937125,937125,1.304,0.767,0.979
43,7 pat p30 96h 3 day ctrl 10x 3_DAPI_colony_47.tiff,2367,184.752,0.871,603585,603585,1.389,0.720,0.973
44,7 pat p30 96h 3 day ctrl 10x 3_DAPI_colony_48.tiff,2349,184.309,0.869,598995,598995,1.485,0.673,0.972
45,7 pat p30 96h 3 day ctrl 10x 3_DAPI_colony_49.tiff,3215,219.966,0.835,819825,819825,1.474,0.678,0.970
46,7 pat p30 96h 3 day ctrl 10x 3_DAPI_colony_50.tiff,1373,138.125,0.904,350115,350115,1.248,0.801,0.968
