 ,Label,Area,Perim.,Circ.,IntDen,RawIntDen,AR,Round,Solidity
1,7 pat p30 96h 3 day od 10x 1_DAPI_colony_1.tiff,2457,186.752,0.885,626535,626535,1.164,0.859,0.967
2,7 pat p30 96h 3 day od 10x 1_DAPI_colony_10.tiff,2822,202.853,0.862,719610,719610,1.547,0.646,0.979
3,7 pat p30 96h 3 day od 10x 1_DAPI_colony_11.tiff,2745,198.267,0.878,699975,699975,1.068,0.937,0.972
4,7 pat p30 96h 3 day od 10x 1_DAPI_colony_13.tiff,1712,158.024,0.862,436560,436560,1.284,0.779,0.964
5,7 pat p30 96h 3 day od 10x 1_DAPI_colony_14.tiff,2639,196.066,0.863,672945,672945,1.345,0.744,0.970
6,7 pat p30 96h 3 day od 10x 1_DAPI_colony_15.tiff,3206,218.551,0.843,817530,817530,1.464,0.683,0.969
7,7 pat p30 96h 3 day od 10x 1_DAPI_colony_2.tiff,2214,181.823,0.842,564570,564570,1.429,0.700,0.962
8,7 pat p30 96h 3 day od 10x 1_DAPI_colony_3.tiff,2155,175.581,0.878,549525,549525,1.325,0.755,0.967
9,7 pat p30 96h 3 day od 10x 1_DAPI_colony_4.tiff,4576,263.563,0.828,1166880,1166880,1.604,0.624,0.972
10,7 pat p30 96h 3 day od 10x 1_DAPI_colony_5.tiff,3533,233.137,0.817,900915,900915,1.138,0.879,0.950
11,7 pat p30 96h 3 day od 10x 1_DAPI_colony_7.tiff,2954,210.208,0.840,753270,753270,1.524,0.656,0.970
12,7 pat p30 96h 3 day od 10x 1_DAPI_colony_8.tiff,2856,202.267,0.877,728280,728280,1.259,0.794,0.973
13,7 pat p30 96h 3 day od 10x 1_DAPI_colony_9.tiff,3062,210.693,0.867,780810,780810,1.408,0.710,0.970
14,7 pat p30 96h 3 day od 10x 3_DAPI_colony_13.tiff,2925,204.551,0.878,745875,745875,1.356,0.737,0.974
15,7 pat p30 96h 3 day od 10x 3_DAPI_colony_14.tiff,5399,275.321,0.895,1376745,1376745,1.269,0.788,0.982
16,7 pat p30 96h 3 day od 10x 3_DAPI_colony_15.tiff,5920,288.392,0.894,1509600,1509600,1.214,0.824,0.980
17,7 pat p30 96h 3 day od 10x 3_DAPI_colony_16.tiff,2353,184.409,0.869,600015,600015,1.440,0.694,0.971
18,7 pat p30 96h 3 day od 10x 3_DAPI_colony_17.tiff,4622,256.593,0.882,1178610,1178610,1.290,0.775,0.979
19,7 pat p30 96h 3 day od 10x 3_DAPI_colony_19.tiff,5051,267.664,0.886,1288005,1288005,1.252,0.798,0.976
20,7 pat p30 96h 3 day od 10x 3_DAPI_colony_21.tiff,2721,201.480,0.842,693855,693855,1.520,0.658,0.971
21,7 pat p30 96h 3 day od 10x 3_DAPI_colony_22.tiff,2740,199.238,0.867,698700,698700,1.395,0.717,0.972
22,7 pat p30 96h 3 day od 10x 3_DAPI_colony_23.tiff,2605,192.995,0.879,664275,664275,1.284,0.779,0.970
23,7 pat p30 96h 3 day od 10x 3_DAPI_colony_24.tiff,2717,198.652,0.865,692835,692835,1.231,0.812,0.967
24,7 pat p30 96h 3 day od 10x 3_DAPI_colony_28.tiff,2980,205.966,0.883,759900,759900,1.264,0.791,0.974
25,7 pat p30 96h 3 day od 10x 4_DAPI_colony_25.tiff,3329,215.723,0.899,848895,848895,1.285,0.778,0.978
26,7 pat p30 96h 3 day od 10x 4_DAPI_colony_26.tiff,3798,233.279,0.877,968490,968490,1.293,0.773,0.976
27,7 pat p30 96h 3 day od 10x 4_DAPI_colony_27.tiff,2965,206.551,0.873,756075,756075,1.360,0.735,0.973
28,7 pat p30 96h 3 day od 10x 4_DAPI_colony_28.tiff,2760,201.338,0.856,703800,703800,1.480,0.676,0.974
29,7 pat p30 96h 3 day od 10x 4_DAPI_colony_31.tiff,2895,202.409,0.888,738225,738225,1.317,0.759,0.976
30,7 pat p30 96h 3 day od 10x 4_DAPI_colony_32.tiff,3314,217.380,0.881,845070,845070,1.314,0.761,0.976
31,7 pat p30 96h 3 day od 10x 4_DAPI_colony_33.tiff,2545,191.480,0.872,648975,648975,1.399,0.715,0.972
32,7 pat p30 96h 3 day od 10x 4_DAPI_colony_34.tiff,2181,179.439,0.851,556155,556155,1.528,0.655,0.971
33,7 pat p30 96h 3 day od 10x 4_DAPI_colony_35.tiff,2378,184.894,0.874,606390,606390,1.330,0.752,0.969
