 ,Label,Area,Perim.,Major,Minor,Angle,Circ.,IntDen,RawIntDen,AR,Round,Solidity
1,1 pat p30 7 day ctrl 10x 1_colony_1.tiff,379,73.497,26.253,18.381,124.851,0.882,96645,96645,1.428,0.700,0.942
2,1 pat p30 7 day ctrl 10x 1_colony_10.tiff,209,52.770,17.592,15.127,99.555,0.943,53295,53295,1.163,0.860,0.929
3,1 pat p30 7 day ctrl 10x 1_colony_11.tiff,331,68.669,24.473,17.221,40.758,0.882,84405,84405,1.421,0.704,0.934
4,1 pat p30 7 day ctrl 10x 1_colony_12.tiff,280,66.326,26.216,13.599,131.479,0.800,71400,71400,1.928,0.519,0.929
5,1 pat p30 7 day ctrl 10x 1_colony_13.tiff,288,64.083,22.310,16.436,113.149,0.881,73440,73440,1.357,0.737,0.923
6,1 pat p30 7 day ctrl 10x 1_colony_14.tiff,290,64.426,22.609,16.332,102.936,0.878,73950,73950,1.384,0.722,0.932
7,1 pat p30 7 day ctrl 10x 1_colony_15.tiff,504,86.669,31.794,20.183,92.233,0.843,128520,128520,1.575,0.635,0.941
8,1 pat p30 7 day ctrl 10x 1_colony_16.tiff,227,56.770,19.558,14.778,108.390,0.885,57885,57885,1.323,0.756,0.923
9,1 pat p30 7 day ctrl 10x 1_colony_17.tiff,303,64.426,21.745,17.741,49.474,0.917,77265,77265,1.226,0.816,0.937
10,1 pat p30 7 day ctrl 10x 1_colony_18.tiff,292,64.527,23.435,15.864,100.228,0.881,74460,74460,1.477,0.677,0.947
11,1 pat p30 7 day ctrl 10x 1_colony_19.tiff,375,72.184,24.188,19.740,63.368,0.904,95625,95625,1.225,0.816,0.948
12,1 pat p30 7 day ctrl 10x 1_colony_2.tiff,333,68.770,23.969,17.689,3.173,0.885,84915,84915,1.355,0.738,0.946
13,1 pat p30 7 day ctrl 10x 1_colony_20.tiff,392,76.083,28.046,17.796,132.081,0.851,99960,99960,1.576,0.635,0.934
14,1 pat p30 7 day ctrl 10x 1_colony_21.tiff,657,100.326,32.153,26.017,106.967,0.820,167535,167535,1.236,0.809,0.921
15,1 pat p30 7 day ctrl 10x 1_colony_22.tiff,261,63.255,23.708,14.017,114.507,0.820,66555,66555,1.691,0.591,0.921
16,1 pat p30 7 day ctrl 10x 1_colony_23.tiff,258,59.598,20.883,15.730,51.370,0.913,65790,65790,1.328,0.753,0.936
17,1 pat p30 7 day ctrl 10x 1_colony_24.tiff,158,46.527,16.035,12.545,46.822,0.917,40290,40290,1.278,0.782,0.921
18,1 pat p30 7 day ctrl 10x 1_colony_25.tiff,255,58.184,19.124,16.977,49.551,0.947,65025,65025,1.126,0.888,0.944
19,1 pat p30 7 day ctrl 10x 1_colony_26.tiff,396,74.184,26.499,19.028,58.798,0.904,100980,100980,1.393,0.718,0.958
20,1 pat p30 7 day ctrl 10x 1_colony_27.tiff,289,64.426,22.476,16.372,37.394,0.875,73695,73695,1.373,0.728,0.932
21,1 pat p30 7 day ctrl 10x 1_colony_28.tiff,144,44.284,15.634,11.727,86.850,0.923,36720,36720,1.333,0.750,0.923
22,1 pat p30 7 day ctrl 10x 1_colony_29.tiff,266,61.598,22.585,14.996,53.809,0.881,67830,67830,1.506,0.664,0.935
23,1 pat p30 7 day ctrl 10x 1_colony_30.tiff,235,59.012,20.882,14.329,162.856,0.848,59925,59925,1.457,0.686,0.914
24,1 pat p30 7 day ctrl 10x 1_colony_31.tiff,243,58.426,19.142,16.163,122.544,0.895,61965,61965,1.184,0.844,0.920
25,1 pat p30 7 day ctrl 10x 1_colony_32.tiff,358,77.255,30.619,14.887,60.815,0.754,91290,91290,2.057,0.486,0.929
26,1 pat p30 7 day ctrl 10x 1_colony_34.tiff,290,64.669,21.756,16.972,129.468,0.871,73950,73950,1.282,0.780,0.915
27,1 pat p30 7 day ctrl 10x 1_colony_35.tiff,251,60.184,20.848,15.329,93.188,0.871,64005,64005,1.360,0.735,0.930
28,1 pat p30 7 day ctrl 10x 1_colony_36.tiff,248,60.184,22.646,13.944,107.088,0.860,63240,63240,1.624,0.616,0.934
29,1 pat p30 7 day ctrl 10x 1_colony_37.tiff,333,70.912,25.670,16.517,65.803,0.832,84915,84915,1.554,0.643,0.928
30,1 pat p30 7 day ctrl 10x 1_colony_38.tiff,264,63.598,23.218,14.477,67.074,0.820,67320,67320,1.604,0.624,0.903
31,1 pat p30 7 day ctrl 10x 1_colony_39.tiff,322,77.598,25.426,16.125,77.797,0.672,82110,82110,1.577,0.634,0.870
32,1 pat p30 7 day ctrl 10x 1_colony_4.tiff,200,55.355,20.609,12.356,27.155,0.820,51000,51000,1.668,0.600,0.909
33,1 pat p30 7 day ctrl 10x 1_colony_40.tiff,192,50.527,17.286,14.142,62.418,0.945,48960,48960,1.222,0.818,0.939
34,1 pat p30 7 day ctrl 10x 1_colony_41.tiff,420,78.083,28.255,18.926,50.599,0.866,107100,107100,1.493,0.670,0.940
35,1 pat p30 7 day ctrl 10x 1_colony_42.tiff,426,79.841,29.038,18.679,101.432,0.840,108630,108630,1.555,0.643,0.941
36,1 pat p30 7 day ctrl 10x 1_colony_43.tiff,253,61.598,22.989,14.012,47.452,0.838,64515,64515,1.641,0.610,0.920
37,1 pat p30 7 day ctrl 10x 1_colony_44.tiff,222,55.355,19.091,14.806,125.124,0.910,56610,56610,1.289,0.776,0.929
38,1 pat p30 7 day ctrl 10x 1_colony_45.tiff,472,81.841,28.409,21.154,85.459,0.886,120360,120360,1.343,0.745,0.946
39,1 pat p30 7 day ctrl 10x 1_colony_46.tiff,332,68.527,23.379,18.081,130.183,0.888,84660,84660,1.293,0.773,0.951
40,1 pat p30 7 day ctrl 10x 1_colony_48.tiff,272,63.255,23.817,14.541,58.327,0.854,69360,69360,1.638,0.611,0.927
41,1 pat p30 7 day ctrl 10x 1_colony_49.tiff,281,61.841,20.206,17.707,162.246,0.923,71655,71655,1.141,0.876,0.932
42,1 pat p30 7 day ctrl 10x 1_colony_50.tiff,223,54.770,19.188,14.798,98.286,0.934,56865,56865,1.297,0.771,0.933
43,1 pat p30 7 day ctrl 10x 1_colony_51.tiff,322,66.669,23.003,17.823,134.195,0.910,82110,82110,1.291,0.775,0.937
44,1 pat p30 7 day ctrl 10x 1_colony_52.tiff,312,65.598,23.685,16.772,166.087,0.911,79560,79560,1.412,0.708,0.947
45,1 pat p30 7 day ctrl 10x 1_colony_53.tiff,285,64.184,23.291,15.580,40.704,0.869,72675,72675,1.495,0.669,0.936
46,1 pat p30 7 day ctrl 10x 1_colony_54.tiff,460,81.497,28.274,20.715,20.387,0.870,117300,117300,1.365,0.733,0.936
47,1 pat p30 7 day ctrl 10x 1_colony_55.tiff,279,62.184,19.903,17.848,143.414,0.907,71145,71145,1.115,0.897,0.941
48,1 pat p30 7 day ctrl 10x 1_colony_56.tiff,256,61.598,21.879,14.898,114.559,0.848,65280,65280,1.469,0.681,0.924
49,1 pat p30 7 day ctrl 10x 1_colony_57.tiff,234,58.770,22.568,13.202,35.843,0.851,59670,59670,1.709,0.585,0.934
50,1 pat p30 7 day ctrl 10x 1_colony_58.tiff,586,92.912,33.719,22.128,91.265,0.853,149430,149430,1.524,0.656,0.947
51,1 pat p30 7 day ctrl 10x 1_colony_59.tiff,288,64.426,22.596,16.229,138.479,0.872,73440,73440,1.392,0.718,0.920
52,1 pat p30 7 day ctrl 10x 1_colony_60.tiff,405,77.255,28.423,18.142,99.838,0.853,103275,103275,1.567,0.638,0.939
53,1 pat p30 7 day ctrl 10x 1_colony_61.tiff,214,54.184,18.771,14.516,157.592,0.916,54570,54570,1.293,0.773,0.926
54,1 pat p30 7 day ctrl 10x 1_colony_62.tiff,267,63.598,21.353,15.921,38.643,0.830,68085,68085,1.341,0.746,0.904
55,1 pat p30 7 day ctrl 10x 1_colony_63.tiff,224,55.355,19.060,14.963,44.397,0.919,57120,57120,1.274,0.785,0.937
56,1 pat p30 7 day ctrl 10x 1_colony_64.tiff,289,63.012,22.963,16.024,60.753,0.915,73695,73695,1.433,0.698,0.943
57,1 pat p30 7 day ctrl 10x 1_colony_65.tiff,213,56.770,20.282,13.372,120.683,0.831,54315,54315,1.517,0.659,0.901
58,1 pat p30 7 day ctrl 10x 1_colony_66.tiff,260,61.497,19.827,16.697,34.391,0.864,66300,66300,1.187,0.842,0.909
59,1 pat p30 7 day ctrl 10x 1_colony_67.tiff,265,60.426,19.479,17.322,120.274,0.912,67575,67575,1.124,0.889,0.933
60,1 pat p30 7 day ctrl 10x 1_colony_68.tiff,383,72.083,24.272,20.091,107.643,0.926,97665,97665,1.208,0.828,0.946
61,1 pat p30 7 day ctrl 10x 1_colony_69.tiff,212,53.941,18.998,14.208,44.482,0.916,54060,54060,1.337,0.748,0.930
62,1 pat p30 7 day ctrl 10x 1_colony_70.tiff,466,82.569,29.663,20.003,52.916,0.859,118830,118830,1.483,0.674,0.938
