 ,Label,Area,Perim.,Circ.,IntDen,RawIntDen,AR,Round,Solidity
1,1 pat p17 7 day od 10x 2_colony_1.tiff,247,59.255,0.884,62985,62985,1.230,0.813,0.932
2,1 pat p17 7 day od 10x 2_colony_15.tiff,249,62.770,0.794,63495,63495,1.655,0.604,0.909
3,1 pat p17 7 day od 10x 2_colony_16.tiff,256,60.770,0.871,65280,65280,1.642,0.609,0.933
4,1 pat p17 7 day od 10x 2_colony_17.tiff,320,66.184,0.918,81600,81600,1.261,0.793,0.940
5,1 pat p17 7 day od 10x 2_colony_18.tiff,199,52.527,0.906,50745,50745,1.099,0.910,0.919
6,1 pat p17 7 day od 10x 2_colony_19.tiff,279,62.770,0.890,71145,71145,1.522,0.657,0.944
7,1 pat p17 7 day od 10x 2_colony_2.tiff,209,53.113,0.931,53295,53295,1.041,0.961,0.935
8,1 pat p17 7 day od 10x 2_colony_20.tiff,288,63.355,0.902,73440,73440,1.211,0.826,0.937
9,1 pat p17 7 day od 10x 2_colony_22.tiff,350,72.669,0.833,89250,89250,1.591,0.628,0.926
10,1 pat p17 7 day od 10x 2_colony_23.tiff,301,64.527,0.908,76755,76755,1.324,0.756,0.945
11,1 pat p17 7 day od 10x 2_colony_24.tiff,359,70.083,0.918,91545,91545,1.177,0.850,0.937
12,1 pat p17 7 day od 10x 2_colony_25.tiff,172,47.941,0.940,43860,43860,1.404,0.712,0.932
13,1 pat p17 7 day od 10x 2_colony_26.tiff,341,70.669,0.858,86955,86955,1.402,0.713,0.924
14,1 pat p17 7 day od 10x 2_colony_27.tiff,255,61.355,0.851,65025,65025,1.427,0.701,0.927
15,1 pat p17 7 day od 10x 2_colony_28.tiff,321,68.426,0.862,81855,81855,1.193,0.838,0.930
16,1 pat p17 7 day od 10x 2_colony_3.tiff,297,67.355,0.823,75735,75735,1.502,0.666,0.934
17,1 pat p17 7 day od 10x 2_colony_30.tiff,232,57.941,0.868,59160,59160,1.543,0.648,0.930
18,1 pat p17 7 day od 10x 2_colony_31.tiff,191,51.456,0.907,48705,48705,1.258,0.795,0.934
19,1 pat p17 7 day od 10x 2_colony_32.tiff,231,57.598,0.875,58905,58905,1.563,0.640,0.926
20,1 pat p17 7 day od 10x 2_colony_33.tiff,177,50.184,0.883,45135,45135,1.380,0.725,0.905
21,1 pat p17 7 day od 10x 2_colony_34.tiff,275,63.598,0.854,70125,70125,1.399,0.715,0.918
22,1 pat p17 7 day od 10x 2_colony_35.tiff,231,58.184,0.857,58905,58905,1.687,0.593,0.933
23,1 pat p17 7 day od 10x 2_colony_38.tiff,364,85.983,0.619,92820,92820,1.348,0.742,0.864
24,1 pat p17 7 day od 10x 2_colony_39.tiff,194,51.941,0.904,49470,49470,1.356,0.738,0.928
25,1 pat p17 7 day od 10x 2_colony_4.tiff,342,71.255,0.846,87210,87210,1.493,0.670,0.921
26,1 pat p17 7 day od 10x 2_colony_40.tiff,208,54.770,0.871,53040,53040,1.531,0.653,0.933
27,1 pat p17 7 day od 10x 2_colony_41.tiff,213,53.113,0.949,54315,54315,1.164,0.859,0.938
28,1 pat p17 7 day od 10x 2_colony_42.tiff,265,63.012,0.839,67575,67575,1.659,0.603,0.919
29,1 pat p17 7 day od 10x 2_colony_43.tiff,259,59.841,0.909,66045,66045,1.260,0.794,0.933
30,1 pat p17 7 day od 10x 2_colony_44.tiff,325,70.669,0.818,82875,82875,1.245,0.803,0.904
31,1 pat p17 7 day od 10x 2_colony_45.tiff,263,61.841,0.864,67065,67065,1.343,0.745,0.918
