 ,Label,Area,Perim.,Major,Minor,Angle,Circ.,IntDen,RawIntDen,AR,Round,Solidity
1,1 pat p17 7 day od 10x 2_colony_1.tiff,326,67.012,22.218,18.682,37.257,0.912,83130,83130,1.189,0.841,0.949
2,1 pat p17 7 day od 10x 2_colony_15.tiff,249,62.770,22.904,13.842,31.002,0.794,63495,63495,1.655,0.604,0.909
3,1 pat p17 7 day od 10x 2_colony_16.tiff,302,65.598,24.863,15.466,21.146,0.882,77010,77010,1.608,0.622,0.941
4,1 pat p17 7 day od 10x 2_colony_17.tiff,370,71.598,24.296,19.390,178.742,0.907,94350,94350,1.253,0.798,0.950
5,1 pat p17 7 day od 10x 2_colony_18.tiff,252,58.184,18.638,17.215,7.068,0.935,64260,64260,1.083,0.924,0.935
6,1 pat p17 7 day od 10x 2_colony_19.tiff,279,62.770,23.249,15.279,155.259,0.890,71145,71145,1.522,0.657,0.944
7,1 pat p17 7 day od 10x 2_colony_2.tiff,209,53.113,16.642,15.990,160.116,0.931,53295,53295,1.041,0.961,0.935
8,1 pat p17 7 day od 10x 2_colony_20.tiff,288,63.355,21.074,17.401,58.121,0.902,73440,73440,1.211,0.826,0.937
9,1 pat p17 7 day od 10x 2_colony_22.tiff,350,72.669,26.630,16.734,59.852,0.833,89250,89250,1.591,0.628,0.926
10,1 pat p17 7 day od 10x 2_colony_23.tiff,348,70.184,24.129,18.364,7.018,0.888,88740,88740,1.314,0.761,0.937
11,1 pat p17 7 day od 10x 2_colony_24.tiff,359,70.083,23.191,19.710,144.301,0.918,91545,91545,1.177,0.850,0.937
12,1 pat p17 7 day od 10x 2_colony_25.tiff,239,57.841,20.761,14.658,133.123,0.898,60945,60945,1.416,0.706,0.926
13,1 pat p17 7 day od 10x 2_colony_26.tiff,341,70.669,24.674,17.596,119.602,0.858,86955,86955,1.402,0.713,0.924
14,1 pat p17 7 day od 10x 2_colony_27.tiff,255,61.355,21.528,15.082,106.293,0.851,65025,65025,1.427,0.701,0.927
15,1 pat p17 7 day od 10x 2_colony_28.tiff,421,77.255,25.738,20.826,17.960,0.886,107355,107355,1.236,0.809,0.942
16,1 pat p17 7 day od 10x 2_colony_3.tiff,297,67.355,23.833,15.867,153.957,0.823,75735,75735,1.502,0.666,0.934
17,1 pat p17 7 day od 10x 2_colony_30.tiff,232,57.941,21.346,13.838,85.681,0.868,59160,59160,1.543,0.648,0.930
