 ,Label,Area,Perim.,Circ.,IntDen,RawIntDen,AR,Round,Solidity
61,blue.tif,906,130.083,0.673,231030,231030,2.072,0.483,0.965
62,blue.tif,1825,164.267,0.850,465375,465375,1.454,0.688,0.963
63,blue.tif,2343,186.066,0.850,597465,597465,1.503,0.666,0.969
64,blue.tif,2115,183.238,0.792,539325,539325,1.589,0.629,0.946
65,blue.tif,1429,148.125,0.818,364395,364395,1.706,0.586,0.965
66,blue.tif,1723,163.338,0.812,439365,439365,1.694,0.590,0.959
67,blue.tif,1432,182.208,0.542,365160,365160,2.080,0.481,0.901
68,blue.tif,1764,158.853,0.878,449820,449820,1.354,0.739,0.964
69,blue.tif,1522,146.610,0.890,388110,388110,1.377,0.726,0.970
70,blue.tif,1209,130.711,0.889,308295,308295,1.259,0.794,0.964
71,blue.tif,1447,144.610,0.870,368985,368985,1.355,0.738,0.962
72,blue.tif,1527,149.439,0.859,389385,389385,1.445,0.692,0.964
73,blue.tif,1914,165.338,0.880,488070,488070,1.357,0.737,0.970
74,blue.tif,1555,151.196,0.855,396525,396525,1.448,0.691,0.963
75,blue.tif,1404,145.095,0.838,358020,358020,1.632,0.613,0.963
76,blue.tif,1818,170.652,0.784,463590,463590,1.272,0.786,0.935
77,blue.tif,1530,164.995,0.706,390150,390150,1.683,0.594,0.906
78,blue.tif,2143,178.551,0.845,546465,546465,1.511,0.662,0.962
79,blue.tif,1663,170.409,0.720,424065,424065,1.950,0.513,0.934
80,blue.tif,1393,141.924,0.869,355215,355215,1.550,0.645,0.963
81,blue.tif,1697,165.480,0.779,432735,432735,1.885,0.531,0.954
82,blue.tif,438,99.539,0.556,111690,111690,3.365,0.297,0.884
83,blue.tif,1629,179.338,0.636,415395,415395,1.761,0.568,0.853
84,blue.tif,1747,161.681,0.840,445485,445485,1.418,0.705,0.963
85,blue.tif,1390,145.924,0.820,354450,354450,1.752,0.571,0.958
86,blue.tif,1900,169.338,0.833,484500,484500,1.520,0.658,0.964
87,blue.tif,2431,184.409,0.898,619905,619905,1.192,0.839,0.971
88,blue.tif,1320,138.368,0.866,336600,336600,1.305,0.766,0.957
89,blue.tif,2292,182.409,0.866,584460,584460,1.232,0.812,0.961
90,blue.tif,1675,156.267,0.862,427125,427125,1.532,0.653,0.968
91,blue.tif,1654,154.024,0.876,421770,421770,1.409,0.710,0.969
92,blue.tif,1426,143.196,0.874,363630,363630,1.444,0.692,0.965
93,blue.tif,1528,150.267,0.850,389640,389640,1.517,0.659,0.964
94,blue.tif,1847,165.439,0.848,470985,470985,1.467,0.682,0.967
95,blue.tif,2190,184.894,0.805,558450,558450,1.757,0.569,0.954
96,blue.tif,1679,154.510,0.884,428145,428145,1.237,0.808,0.962
97,blue.tif,2067,168.510,0.915,527085,527085,1.165,0.859,0.971
98,blue.tif,1401,149.924,0.783,357255,357255,1.922,0.520,0.951
99,blue.tif,2651,195.924,0.868,676005,676005,1.368,0.731,0.970
100,blue.tif,1824,162.024,0.873,465120,465120,1.458,0.686,0.970
101,blue.tif,4591,581.505,0.171,1170705,1170705,2.155,0.464,0.513
102,blue.tif,1487,147.095,0.864,379185,379185,1.343,0.745,0.960
103,blue.tif,1787,158.024,0.899,455685,455685,1.217,0.822,0.970
104,blue.tif,1784,162.267,0.851,454920,454920,1.467,0.681,0.966
105,blue.tif,367,85.113,0.637,93585,93585,2.411,0.415,0.943
106,red.tif,3265,385.203,0.277,832575,832575,2.741,0.365,0.833
107,red.tif,4869,496.642,0.248,1241595,1241595,4.231,0.236,0.808
108,red.tif,425,114.811,0.405,108375,108375,2.088,0.479,0.794
109,red.tif,4278,523.026,0.197,1090890,1090890,2.971,0.337,0.654
110,red.tif,132,53.698,0.575,33660,33660,2.239,0.447,0.746
111,red.tif,179,70.669,0.450,45645,45645,1.449,0.690,0.681
112,red.tif,222,85.497,0.382,56610,56610,2.367,0.422,0.686
113,red.tif,120,49.698,0.611,30600,30600,2.004,0.499,0.828
