 ,Label,Area,Perim.,Circ.,IntDen,RawIntDen,AR,Round,Solidity
1,blue.tif,2767,200.309,0.867,705585,705585,1.351,0.740,0.966
2,blue.tif,1588,161.196,0.768,404940,404940,1.487,0.673,0.920
3,blue.tif,2592,192.894,0.875,660960,660960,1.333,0.750,0.972
4,blue.tif,3030,207.723,0.882,772650,772650,1.310,0.763,0.973
5,blue.tif,1891,165.095,0.872,482205,482205,1.366,0.732,0.969
6,blue.tif,2860,201.480,0.885,729300,729300,1.263,0.792,0.974
7,blue.tif,2948,211.380,0.829,751740,751740,1.431,0.699,0.965
8,blue.tif,1610,161.681,0.774,410550,410550,1.592,0.628,0.928
9,blue.tif,1387,148.912,0.786,353685,353685,1.337,0.748,0.974
10,blue.tif,4464,280.492,0.713,1138320,1138320,1.896,0.527,0.922
11,blue.tif,1741,157.439,0.883,443955,443955,1.248,0.801,0.965
12,blue.tif,2687,209.723,0.768,685185,685185,1.611,0.621,0.928
13,blue.tif,2272,207.966,0.660,579360,579360,1.477,0.677,0.881
14,blue.tif,2572,194.894,0.851,655860,655860,1.328,0.753,0.966
15,blue.tif,3321,225.380,0.822,846855,846855,1.118,0.894,0.961
16,blue.tif,2302,182.752,0.866,587010,587010,1.407,0.710,0.972
17,blue.tif,2568,202.066,0.790,654840,654840,1.187,0.843,0.925
18,blue.tif,2649,196.409,0.863,675495,675495,1.312,0.762,0.968
19,blue.tif,2343,182.853,0.881,597465,597465,1.292,0.774,0.970
20,blue.tif,3414,275.706,0.564,870570,870570,1.274,0.785,0.863
21,blue.tif,2063,168.853,0.909,526065,526065,1.227,0.815,0.976
22,blue.tif,3034,217.137,0.809,773670,773670,1.614,0.620,0.959
23,blue.tif,2975,209.723,0.850,758625,758625,1.274,0.785,0.962
24,blue.tif,1963,169.095,0.863,500565,500565,1.511,0.662,0.969
25,blue.tif,2177,181.095,0.834,555135,555135,1.478,0.677,0.950
26,blue.tif,2635,193.966,0.880,671925,671925,1.333,0.750,0.971
27,blue.tif,1951,176.468,0.787,497505,497505,1.722,0.581,0.977
28,blue.tif,113,42.385,0.790,28815,28815,1.740,0.575,0.911
29,blue.tif,2447,191.966,0.834,623985,623985,1.644,0.608,0.967
30,blue.tif,2294,185.238,0.840,584970,584970,1.509,0.663,0.963
31,blue.tif,2700,198.794,0.859,688500,688500,1.485,0.674,0.970
32,blue.tif,2310,184.894,0.849,589050,589050,1.542,0.649,0.962
33,blue.tif,2412,462.794,0.142,615060,615060,5.726,0.175,0.604
34,blue.tif,2432,184.409,0.899,620160,620160,1.164,0.859,0.973
35,blue.tif,1975,167.095,0.889,503625,503625,1.226,0.816,0.971
36,blue.tif,2561,191.823,0.875,653055,653055,1.082,0.924,0.966
37,blue.tif,562,130.024,0.418,143310,143310,1.393,0.718,0.754
38,red.tif,452,111.355,0.458,115260,115260,3.036,0.329,0.816
39,red.tif,50969,4337.827,0.034,12997095,12997095,1.587,0.630,0.481
40,red.tif,732,140.368,0.467,186660,186660,1.194,0.837,0.778
41,red.tif,213,103.882,0.248,54315,54315,1.649,0.606,0.502
42,red.tif,119,54.284,0.507,30345,30345,2.698,0.371,0.751
43,red.tif,5301,938.413,0.076,1351755,1351755,2.515,0.398,0.474
44,red.tif,110,37.799,0.967,28050,28050,1.065,0.939,0.940
45,red.tif,660,131.196,0.482,168300,168300,1.928,0.519,0.741
46,red.tif,155,59.941,0.542,39525,39525,1.860,0.538,0.703
47,red.tif,26742,2628.748,0.049,6819210,6819210,1.973,0.507,0.466
48,red.tif,5476,641.394,0.167,1396380,1396380,1.665,0.601,0.586
49,red.tif,153,61.113,0.515,39015,39015,1.737,0.576,0.700
50,red.tif,140,67.355,0.388,35700,35700,3.410,0.293,0.648
51,red.tif,356,102.569,0.425,90780,90780,2.673,0.374,0.721
52,red.tif,208,70.912,0.520,53040,53040,1.240,0.807,0.775
53,red.tif,137,51.698,0.644,34935,34935,1.747,0.572,0.830
54,red.tif,126,47.941,0.689,32130,32130,1.542,0.649,0.818
55,red.tif,127,55.355,0.521,32385,32385,1.444,0.693,0.702
56,red.tif,145,65.012,0.431,36975,36975,1.275,0.784,0.661
57,red.tif,275,77.497,0.575,70125,70125,1.692,0.591,0.752
58,red.tif,133,52.184,0.614,33915,33915,1.384,0.723,0.769
59,red.tif,111,40.042,0.870,28305,28305,1.277,0.783,0.895
60,red.tif,450,123.539,0.371,114750,114750,1.923,0.520,0.628
61,red.tif,3974,800.507,0.078,1013370,1013370,2.123,0.471,0.428
62,red.tif,139,51.941,0.647,35445,35445,2.211,0.452,0.827
63,red.tif,505,91.255,0.762,128775,128775,1.184,0.845,0.887
64,red.tif,145,44.284,0.929,36975,36975,1.489,0.672,0.932
65,red.tif,432,154.953,0.226,110160,110160,2.476,0.404,0.514
66,red.tif,269,79.598,0.534,68595,68595,2.414,0.414,0.830
67,red.tif,105,49.941,0.529,26775,26775,1.761,0.568,0.722
68,red.tif,170,54.527,0.719,43350,43350,1.825,0.548,0.854
69,red.tif,159,55.355,0.652,40545,40545,1.347,0.742,0.801
70,red.tif,114,51.456,0.541,29070,29070,3.019,0.331,0.797
71,red.tif,140,62.426,0.451,35700,35700,2.814,0.355,0.656
72,red.tif,176,61.113,0.592,44880,44880,2.477,0.404,0.898
73,red.tif,109,44.527,0.691,27795,27795,1.838,0.544,0.816
74,red.tif,101,38.627,0.851,25755,25755,1.219,0.820,0.894
75,red.tif,179,71.841,0.436,45645,45645,2.165,0.462,0.664
76,red.tif,214,89.255,0.338,54570,54570,4.557,0.219,0.704
77,red.tif,1695,308.191,0.224,432225,432225,2.105,0.475,0.673
78,red.tif,185,70.669,0.466,47175,47175,3.428,0.292,0.811
79,red.tif,649,122.368,0.545,165495,165495,1.398,0.715,0.831
80,red.tif,115,57.355,0.439,29325,29325,2.675,0.374,0.676
81,red.tif,438,127.640,0.338,111690,111690,2.709,0.369,0.654
82,red.tif,138,45.456,0.839,35190,35190,1.399,0.715,0.893
83,red.tif,166148,8812.739,0.027,42367740,42367740,1.588,0.630,0.490
84,red.tif,337,125.681,0.268,85935,85935,3.821,0.262,0.603
85,red.tif,130,48.527,0.694,33150,33150,1.389,0.720,0.807
86,red.tif,305,99.054,0.391,77775,77775,1.538,0.650,0.724
87,red.tif,258,70.669,0.649,65790,65790,1.645,0.608,0.804
88,red.tif,140,48.870,0.737,35700,35700,1.464,0.683,0.843
89,red.tif,126,62.527,0.405,32130,32130,1.822,0.549,0.670
90,red.tif,137,48.870,0.721,34935,34935,1.691,0.591,0.848
91,red.tif,398,126.024,0.315,101490,101490,1.221,0.819,0.657
92,red.tif,254,112.711,0.251,64770,64770,2.223,0.450,0.560
93,red.tif,189,80.669,0.365,48195,48195,2.930,0.341,0.659
94,red.tif,212,84.569,0.373,54060,54060,2.428,0.412,0.624
95,red.tif,208,99.054,0.266,53040,53040,4.250,0.235,0.647
96,red.tif,37464,3603.546,0.036,9553320,9553320,1.202,0.832,0.449
97,red.tif,130,55.941,0.522,33150,33150,1.980,0.505,0.732
98,red.tif,123,50.770,0.600,31365,31365,2.497,0.401,0.817
99,red.tif,378,139.581,0.244,96390,96390,1.983,0.504,0.617
100,red.tif,141,75.841,0.308,35955,35955,1.175,0.851,0.656
101,red.tif,470,139.924,0.302,119850,119850,1.506,0.664,0.701
102,red.tif,185,68.426,0.497,47175,47175,2.370,0.422,0.743
103,red.tif,593,176.167,0.240,151215,151215,1.703,0.587,0.656
104,red.tif,127,53.355,0.561,32385,32385,2.256,0.443,0.763
105,red.tif,431,149.095,0.244,109905,109905,1.657,0.604,0.667
106,red.tif,514,169.581,0.225,131070,131070,2.466,0.406,0.477
107,red.tif,141,47.941,0.771,35955,35955,1.786,0.560,0.873
108,red.tif,1006,278.635,0.163,256530,256530,1.940,0.516,0.466
109,red.tif,188,63.255,0.590,47940,47940,1.897,0.527,0.792
