 ,Label,Area,Perim.,Circ.,IntDen,RawIntDen,AR,Round,Solidity
1,colony_1.tiff,3012,237.279,0.672,768060,768060,1.203,0.831,0.915
2,colony_10.tiff,3207,315.948,0.404,817785,817785,1.625,0.615,0.485
3,colony_100.tiff,1512,156.752,0.773,385560,385560,1.503,0.665,0.942
4,colony_101.tiff,1249,134.267,0.871,318495,318495,1.313,0.761,0.956
5,colony_102.tiff,1805,163.924,0.844,460275,460275,1.498,0.668,0.960
6,colony_103.tiff,1542,157.581,0.780,393210,393210,1.512,0.661,0.927
7,colony_104.tiff,1864,170.995,0.801,475320,475320,1.672,0.598,0.934
8,colony_105.tiff,1738,184.451,0.642,443190,443190,1.899,0.527,0.921
9,colony_106.tiff,1179,138.368,0.774,300645,300645,1.531,0.653,0.909
10,colony_107.tiff,1976,190.551,0.684,503880,503880,1.354,0.739,0.915
11,colony_108.tiff,1608,153.338,0.859,410040,410040,1.357,0.737,0.955
12,colony_109.tiff,1117,136.610,0.752,284835,284835,1.497,0.668,0.937
13,colony_11.tiff,3399,242.836,0.724,866745,866745,1.341,0.746,0.814
14,colony_110.tiff,1356,146.853,0.790,345780,345780,1.115,0.897,0.868
15,colony_111.tiff,1160,138.711,0.758,295800,295800,1.249,0.800,0.907
16,colony_112.tiff,1388,143.095,0.852,353940,353940,1.337,0.748,0.947
17,colony_113.tiff,1252,143.539,0.764,319260,319260,1.334,0.750,0.893
18,colony_114.tiff,1469,147.439,0.849,374595,374595,1.247,0.802,0.934
19,colony_115.tiff,1252,137.439,0.833,319260,319260,1.422,0.703,0.942
20,colony_116.tiff,1470,152.267,0.797,374850,374850,1.333,0.750,0.890
21,colony_117.tiff,1356,139.539,0.875,345780,345780,1.355,0.738,0.944
22,colony_118.tiff,1428,142.468,0.884,364140,364140,1.279,0.782,0.957
23,colony_119.tiff,1259,139.539,0.813,321045,321045,1.200,0.833,0.902
24,colony_12.tiff,2082,516.784,0.098,530910,530910,1.292,0.774,0.541
25,colony_120.tiff,1449,150.024,0.809,369495,369495,1.326,0.754,0.901
26,colony_121.tiff,1619,173.338,0.677,412845,412845,1.573,0.636,0.774
27,colony_122.tiff,1927,172.267,0.816,491385,491385,1.132,0.884,0.903
28,colony_123.tiff,1586,170.066,0.689,404430,404430,2.217,0.451,0.933
29,colony_124.tiff,1139,135.196,0.783,290445,290445,1.463,0.683,0.898
30,colony_125.tiff,1579,160.024,0.775,402645,402645,1.254,0.797,0.827
31,colony_126.tiff,1723,162.267,0.822,439365,439365,1.317,0.759,0.939
32,colony_127.tiff,1292,141.539,0.810,329460,329460,1.456,0.687,0.917
33,colony_128.tiff,1238,152.024,0.673,315690,315690,2.049,0.488,0.883
34,colony_129.tiff,1800,170.167,0.781,459000,459000,1.401,0.714,0.932
35,colony_13.tiff,2328,491.571,0.121,593640,593640,1.414,0.707,0.633
36,colony_130.tiff,1075,136.368,0.726,274125,274125,1.291,0.775,0.782
37,colony_131.tiff,1374,150.368,0.764,350370,350370,1.425,0.702,0.864
38,colony_132.tiff,759,124.225,0.618,193545,193545,2.006,0.498,0.862
39,colony_133.tiff,2231,187.723,0.796,568905,568905,1.614,0.620,0.917
40,colony_134.tiff,1241,135.439,0.850,316455,316455,1.444,0.692,0.941
41,colony_135.tiff,1654,156.853,0.845,421770,421770,1.205,0.830,0.926
42,colony_136.tiff,1471,145.338,0.875,375105,375105,1.197,0.836,0.961
43,colony_137.tiff,1672,159.439,0.827,426360,426360,1.405,0.712,0.938
44,colony_138.tiff,1441,152.167,0.782,367455,367455,1.415,0.707,0.872
45,colony_139.tiff,1452,149.681,0.814,370260,370260,1.531,0.653,0.924
46,colony_14.tiff,1679,160.267,0.821,428145,428145,1.344,0.744,0.949
47,colony_140.tiff,1476,150.752,0.816,376380,376380,1.654,0.605,0.951
48,colony_141.tiff,1825,165.439,0.838,465375,465375,1.390,0.719,0.921
49,colony_142.tiff,1296,181.380,0.495,330480,330480,1.468,0.681,0.839
50,colony_143.tiff,1808,176.995,0.725,461040,461040,1.545,0.647,0.888
51,colony_144.tiff,3049,238.108,0.676,777495,777495,1.440,0.695,0.786
52,colony_145.tiff,1520,166.024,0.693,387600,387600,1.440,0.695,0.804
53,colony_146.tiff,2000,176.752,0.804,510000,510000,1.216,0.822,0.880
54,colony_147.tiff,1298,152.510,0.701,330990,330990,1.350,0.741,0.779
55,colony_148.tiff,1442,163.095,0.681,367710,367710,1.170,0.855,0.739
56,colony_149.tiff,1641,168.510,0.726,418455,418455,1.336,0.748,0.817
57,colony_15.tiff,1419,146.368,0.832,361845,361845,1.431,0.699,0.937
58,colony_150.tiff,1569,151.439,0.860,400095,400095,1.374,0.728,0.954
59,colony_151.tiff,2304,252.735,0.453,587520,587520,1.598,0.626,0.881
60,colony_152.tiff,1373,140.368,0.876,350115,350115,1.231,0.813,0.959
61,colony_153.tiff,2026,179.338,0.792,516630,516630,1.273,0.786,0.913
62,colony_154.tiff,1265,135.095,0.871,322575,322575,1.290,0.775,0.954
63,colony_155.tiff,1681,217.522,0.446,428655,428655,1.717,0.582,0.825
64,colony_156.tiff,1171,151.782,0.639,298605,298605,1.489,0.672,0.726
65,colony_157.tiff,1441,150.125,0.803,367455,367455,1.414,0.707,0.887
66,colony_158.tiff,1287,168.551,0.569,328185,328185,2.151,0.465,0.783
67,colony_159.tiff,1584,155.439,0.824,403920,403920,1.444,0.693,0.921
68,colony_16.tiff,1136,183.238,0.425,289680,289680,1.438,0.695,0.499
69,colony_160.tiff,1427,196.794,0.463,363885,363885,1.424,0.702,0.810
70,colony_161.tiff,855,132.953,0.608,218025,218025,2.183,0.458,0.855
71,colony_162.tiff,1787,166.610,0.809,455685,455685,1.245,0.803,0.909
72,colony_163.tiff,1583,152.610,0.854,403665,403665,1.357,0.737,0.941
73,colony_164.tiff,1750,172.510,0.739,446250,446250,1.164,0.859,0.830
74,colony_165.tiff,1877,175.338,0.767,478635,478635,1.454,0.688,0.875
75,colony_166.tiff,1050,132.610,0.750,267750,267750,1.522,0.657,0.913
76,colony_167.tiff,691,136.752,0.464,176205,176205,1.286,0.777,0.727
77,colony_168.tiff,1191,132.024,0.859,303705,303705,1.487,0.672,0.958
78,colony_169.tiff,1253,140.853,0.794,319515,319515,1.268,0.788,0.930
79,colony_17.tiff,1452,158.995,0.722,370260,370260,1.590,0.629,0.873
