 ,Label,Area,Perim.,Circ.,IntDen,RawIntDen,AR,Round,Solidity,Major,Minor
1,1 pat p17 7 day od 10x 2_colony_1.tiff,247,59.255,0.884,62985,62985,1.23,0.813,0.932,22.218,18.682
2,1 pat p17 7 day od 10x 2_colony_15.tiff,249,62.77,0.794,63495,63495,1.655,0.604,0.909,22.904,13.842
3,1 pat p17 7 day od 10x 2_colony_16.tiff,256,60.77,0.871,65280,65280,1.642,0.609,0.933,24.863,15.466
4,1 pat p17 7 day od 10x 2_colony_17.tiff,320,66.184,0.918,81600,81600,1.261,0.793,0.94,24.296,19.39
5,1 pat p17 7 day od 10x 2_colony_18.tiff,199,52.527,0.906,50745,50745,1.099,0.91,0.919,18.638,17.215
6,1 pat p17 7 day od 10x 2_colony_19.tiff,279,62.77,0.89,71145,71145,1.522,0.657,0.944,23.249,15.279
7,1 pat p17 7 day od 10x 2_colony_2.tiff,209,53.113,0.931,53295,53295,1.041,0.961,0.935,16.642,15.99
8,1 pat p17 7 day od 10x 2_colony_20.tiff,288,63.355,0.902,73440,73440,1.211,0.826,0.937,21.074,17.401
9,1 pat p17 7 day od 10x 2_colony_22.tiff,350,72.669,0.833,89250,89250,1.591,0.628,0.926,26.63,16.734
10,1 pat p17 7 day od 10x 2_colony_23.tiff,301,64.527,0.908,76755,76755,1.324,0.756,0.945,24.129,18.364
11,1 pat p17 7 day od 10x 2_colony_24.tiff,359,70.083,0.918,91545,91545,1.177,0.85,0.937,23.191,19.71
12,1 pat p17 7 day od 10x 2_colony_25.tiff,172,47.941,0.94,43860,43860,1.404,0.712,0.932,20.761,14.658
13,1 pat p17 7 day od 10x 2_colony_26.tiff,341,70.669,0.858,86955,86955,1.402,0.713,0.924,24.674,17.596
14,1 pat p17 7 day od 10x 2_colony_27.tiff,255,61.355,0.851,65025,65025,1.427,0.701,0.927,21.528,15.082
15,1 pat p17 7 day od 10x 2_colony_28.tiff,321,68.426,0.862,81855,81855,1.193,0.838,0.93,25.738,20.826
16,1 pat p17 7 day od 10x 2_colony_3.tiff,297,67.355,0.823,75735,75735,1.502,0.666,0.934,23.833,15.867
17,1 pat p17 7 day od 10x 2_colony_30.tiff,232,57.941,0.868,59160,59160,1.543,0.648,0.93,21.346,13.838
18,1 pat p17 7 day od 10x 2_colony_31.tiff,191,51.456,0.907,48705,48705,1.258,0.795,0.934,25.199,17.988
19,1 pat p17 7 day od 10x 2_colony_32.tiff,231,57.598,0.875,58905,58905,1.563,0.64,0.926,21.439,13.719
20,1 pat p17 7 day od 10x 2_colony_33.tiff,177,50.184,0.883,45135,45135,1.38,0.725,0.905,17.635,12.779
21,1 pat p17 7 day od 10x 2_colony_34.tiff,275,63.598,0.854,70125,70125,1.399,0.715,0.918,22.135,15.819
22,1 pat p17 7 day od 10x 2_colony_35.tiff,231,58.184,0.857,58905,58905,1.687,0.593,0.933,22.275,13.204
23,1 pat p17 7 day od 10x 2_colony_38.tiff,364,85.983,0.619,92820,92820,1.348,0.742,0.864,24.993,18.544
24,1 pat p17 7 day od 10x 2_colony_39.tiff,194,51.941,0.904,49470,49470,1.356,0.738,0.928,18.3,13.498
25,1 pat p17 7 day od 10x 2_colony_4.tiff,342,71.255,0.846,87210,87210,1.493,0.67,0.921,25.495,17.08
26,1 pat p17 7 day od 10x 2_colony_40.tiff,208,54.77,0.871,53040,53040,1.531,0.653,0.933,24.204,15.623
27,1 pat p17 7 day od 10x 2_colony_41.tiff,213,53.113,0.949,54315,54315,1.164,0.859,0.938,17.764,15.267
28,1 pat p17 7 day od 10x 2_colony_42.tiff,265,63.012,0.839,67575,67575,1.659,0.603,0.919,25.734,15.981
29,1 pat p17 7 day od 10x 2_colony_43.tiff,259,59.841,0.909,66045,66045,1.26,0.794,0.933,20.384,16.178
30,1 pat p17 7 day od 10x 2_colony_44.tiff,325,70.669,0.818,82875,82875,1.245,0.803,0.904,22.701,18.228
31,1 pat p17 7 day od 10x 2_colony_45.tiff,263,61.841,0.864,67065,67065,1.343,0.745,0.918,21.205,15.791
32,1 pat p17 7 day od 10x 2_colony_46.tiff,271,68.184,0.733,69105,69105,2.265,0.441,0.933,27.957,12.342
33,1 pat p17 7 day od 10x 2_colony_47.tiff,242,57.941,0.906,61710,61710,1.473,0.679,0.936,23.019,16.151
34,1 pat p17 7 day od 10x 2_colony_48.tiff,317,68.669,0.845,80835,80835,1.701,0.588,0.931,27.941,17.635
35,1 pat p17 7 day od 10x 2_colony_49.tiff,210,55.598,0.854,53550,53550,1.585,0.631,0.911,20.584,12.99
36,1 pat p17 7 day od 10x 2_colony_5.tiff,239,57.598,0.905,60945,60945,1.328,0.753,0.925,20.103,15.137
37,1 pat p17 7 day od 10x 2_colony_50.tiff,192,53.941,0.829,48960,48960,1.639,0.61,0.912,22.528,13.903
38,1 pat p17 7 day od 10x 2_colony_51.tiff,338,73.154,0.794,86190,86190,1.673,0.598,0.904,29.027,18.686
39,1 pat p17 7 day od 10x 2_colony_52.tiff,155,47.113,0.878,39525,39525,1.373,0.728,0.912,18.558,13.31
40,1 pat p17 7 day od 10x 2_colony_53.tiff,260,63.841,0.802,66300,66300,1.812,0.552,0.915,26.934,15.269
41,1 pat p17 7 day od 10x 2_colony_54.tiff,252,63.841,0.777,64260,64260,1.807,0.553,0.883,25.848,15.27
42,1 pat p17 7 day od 10x 2_colony_55.tiff,191,52.527,0.87,48705,48705,1.603,0.624,0.92,22.156,13.907
43,1 pat p17 7 day od 10x 2_colony_56.tiff,202,60.77,0.687,51510,51510,2.316,0.432,0.9,26.837,12.477
44,1 pat p17 7 day od 10x 2_colony_57.tiff,223,57.012,0.862,56865,56865,1.419,0.705,0.918,23.676,17.585
45,1 pat p17 7 day od 10x 2_colony_58.tiff,193,54.527,0.816,49215,49215,1.576,0.635,0.915,19.677,12.488
46,1 pat p17 7 day od 10x 2_colony_59.tiff,274,61.598,0.907,69870,69870,1.162,0.86,0.929,22.032,19.187
47,1 pat p17 7 day od 10x 2_colony_6.tiff,308,69.012,0.813,78540,78540,1.866,0.536,0.936,27.051,14.497
48,1 pat p17 7 day od 10x 2_colony_60.tiff,330,70.426,0.836,84150,84150,1.686,0.593,0.928,28.98,18.102
49,1 pat p17 7 day od 10x 2_colony_61.tiff,163,47.113,0.923,41565,41565,1.086,0.921,0.913,16.628,15.927
50,1 pat p17 7 day od 10x 2_colony_62.tiff,236,57.598,0.894,60180,60180,1.19,0.841,0.92,20.675,17.921
51,1 pat p17 7 day od 10x 2_colony_63.tiff,276,66.326,0.788,70380,70380,1.841,0.543,0.917,25.438,13.814
52,1 pat p17 7 day od 10x 2_colony_64.tiff,707,110.083,0.733,180285,180285,1.83,0.547,0.943,40.585,22.18
53,1 pat p17 7 day od 10x 2_colony_65.tiff,282,61.355,0.941,71910,71910,1.141,0.876,0.943,21.121,18.748
54,1 pat p17 7 day od 10x 2_colony_66.tiff,214,54.77,0.896,54570,54570,1.556,0.643,0.939,22.027,14.451
55,1 pat p17 7 day od 10x 2_colony_67.tiff,436,79.012,0.878,111180,111180,1.533,0.652,0.952,29.966,19.758
56,1 pat p17 7 day od 10x 2_colony_68.tiff,264,63.255,0.829,67320,67320,1.452,0.688,0.907,22.096,15.213
57,1 pat p17 7 day od 10x 2_colony_69.tiff,232,57.941,0.868,59160,59160,1.328,0.753,0.932,19.803,14.916
58,1 pat p17 7 day od 10x 2_colony_7.tiff,349,70.426,0.884,88995,88995,1.352,0.739,0.938,24.514,18.127
59,1 pat p17 7 day od 10x 2_colony_70.tiff,245,62.426,0.79,62475,62475,1.651,0.606,0.894,22.694,13.746
60,1 pat p17 7 day od 10x 2_colony_71.tiff,336,69.841,0.866,85680,85680,1.601,0.624,0.936,27.392,17.012
61,1 pat p17 7 day od 10x 2_colony_72.tiff,167,46.87,0.955,42585,42585,1.1,0.909,0.933,14.412,13.164
62,1 pat p17 7 day od 10x 2_colony_73.tiff,298,69.598,0.773,75990,75990,1.138,0.879,0.882,20.778,18.261
63,1 pat p17 7 day od 10x 2_colony_8.tiff,326,68.083,0.884,83130,83130,1.147,0.872,0.922,21.817,19.025
64,1 pat p17 7 day od 10x 3_colony_100.tiff,245,61.012,0.827,62475,62475,1.336,0.749,0.899,23.488,18.051
65,1 pat p17 7 day od 10x 3_colony_101.tiff,381,73.497,0.886,97155,97155,1.338,0.747,0.938,25.479,19.039
66,1 pat p17 7 day od 10x 3_colony_102.tiff,323,68.083,0.876,82365,82365,1.497,0.668,0.932,24.816,16.572
67,1 pat p17 7 day od 10x 3_colony_103.tiff,279,64.912,0.832,71145,71145,1.474,0.678,0.91,24.703,17.267
68,1 pat p17 7 day od 10x 3_colony_104.tiff,603,93.983,0.858,153765,153765,1.516,0.66,0.95,35.825,24.061
69,1 pat p17 7 day od 10x 3_colony_105.tiff,345,72.77,0.819,87975,87975,1.656,0.604,0.934,29.112,18.019
70,1 pat p17 7 day od 10x 3_colony_106.tiff,217,55.012,0.901,55335,55335,1.542,0.649,0.931,21.748,14.636
71,1 pat p17 7 day od 10x 3_colony_107.tiff,209,54.426,0.887,53295,53295,1.451,0.689,0.919,19.647,13.544
72,1 pat p17 7 day od 10x 3_colony_108.tiff,276,62.426,0.89,70380,70380,1.402,0.713,0.934,22.195,15.833
73,1 pat p17 7 day od 10x 3_colony_109.tiff,216,54.527,0.913,55080,55080,1.277,0.783,0.931,20.957,16.343
74,1 pat p17 7 day od 10x 3_colony_110.tiff,212,53.355,0.936,54060,54060,1.314,0.761,0.934,18.836,14.33
75,1 pat p17 7 day od 10x 3_colony_111.tiff,192,52.284,0.883,48960,48960,1.52,0.658,0.93,19.279,12.68
76,1 pat p17 7 day od 10x 3_colony_113.tiff,342,74.569,0.773,87210,87210,2.018,0.496,0.896,29.642,14.69
77,1 pat p17 7 day od 10x 3_colony_114.tiff,301,65.841,0.873,76755,76755,1.35,0.741,0.923,22.748,16.847
78,1 pat p17 7 day od 10x 3_colony_115.tiff,314,67.355,0.87,80070,80070,1.439,0.695,0.939,23.987,16.668
79,1 pat p17 7 day od 10x 3_colony_116.tiff,204,56.527,0.802,52020,52020,1.897,0.527,0.921,24.563,13.114
80,1 pat p17 7 day od 10x 3_colony_117.tiff,286,64.083,0.875,72930,72930,1.258,0.795,0.912,21.401,17.015
81,1 pat p17 7 day od 10x 3_colony_118.tiff,203,53.355,0.896,51765,51765,1.476,0.677,0.929,19.535,13.231
82,1 pat p17 7 day od 10x 3_colony_119.tiff,553,88.326,0.891,141015,141015,1.177,0.849,0.945,28.793,24.454
83,1 pat p17 7 day od 10x 3_colony_120.tiff,254,63.841,0.783,64770,64770,1.752,0.571,0.909,28.231,16.236
84,1 pat p17 7 day od 10x 3_colony_121.tiff,298,67.841,0.814,75990,75990,1.708,0.586,0.913,25.454,14.907
85,1 pat p17 7 day od 10x 3_colony_122.tiff,245,61.012,0.827,62475,62475,1.766,0.566,0.919,24.613,14.174
86,1 pat p17 7 day od 10x 3_colony_123.tiff,324,69.255,0.849,82620,82620,1.554,0.643,0.927,25.321,16.292
