 ,Mean
1,182.926
2,87.534
3,166.637
4,161.859
5,184.733
6,164.279
7,171.201
8,144.435
9,150.541
10,171.283
11,176.615
12,148.750
13,147.926
14,137.879
15,142.109
16,145.369
17,141.015
18,167.985
19,165.423
20,161.699
21,162.945
22,202.449
23,154.492
24,153.195
25,149.217
26,183.247
27,162.772
28,121.780
29,136.671
30,137.809
31,189.760
32,129.042
33,125.880
34,155.550
35,112.191
36,131.219
37,166.976
38,152.882
39,167.310
40,149.073
41,182.532
42,185.341
43,169.390
44,156.038
45,141.715
46,174.675
47,146.094
48,153.497
49,162.440
50,199.141
51,140.225
52,154.193
53,165.484
54,143.191
55,171.635
56,159.666
57,149.104
58,154.778
59,163.696
60,158.869
61,172.542
62,167.360
63,191.530
64,118.280
65,161.907
66,97.173
67,142.518
68,144.806
69,169.229
70,153.606
71,177.893
72,171.545
73,153.624
74,174.342
75,143.660
76,110.420
77,151.921
78,154.136
79,148.819
80,155.454
81,142.012
82,174.130
83,168.958
84,88.663
85,170.386
86,170.447
87,163.016
88,161.573
89,171.554
90,130.272
91,156.435
92,158.287
93,112.034
94,160.771
95,186.646
96,131.698
97,165.209
98,148.032
99,136.638
100,120.406
101,171.488
102,160.664
103,138.564
104,182.117
105,161.931
106,148.471
107,149.086
108,69.765
109,149.071
110,142.445
111,110.782
112,72.629
113,150.191
114,111.379
115,139.157
116,161.667
117,126.870
118,160.781
119,169.558
120,175.025
121,157.124
122,167.475
123,151.445
124,135.195
125,176.684
126,164.618
127,169.893
128,171.386
129,160.573
130,142.420
131,153.477
132,156.305
133,141.566
134,146.545
135,162.424
136,142.627
137,169.859
138,127.169
139,129.314
140,171.537
141,175.954
142,145.860
143,100.425
144,156.592
145,142.268
146,123.121
147,165.225
148,99.591
149,168.667
150,156.267
151,162.374
152,138.393
153,146.462
154,166.123
155,139.188
156,149.365
157,132.222
158,151.921
159,153.066
160,166.827
161,185.431
162,163.376
163,165.526
164,154.667
165,168.533
166,145.031
167,151.509
168,114.526
169,145.886
170,140.915
171,170.247
172,149.368
173,135.976
174,176.028
175,117.482
176,167.862
177,146.360
178,133.390
179,160.616
180,152.547
181,133.875
182,147.952
183,179.070
184,139.622
185,166.404
186,121.734
187,192.768
188,160.761
189,138.857
190,148.922
191,150.000
192,122.709
193,138.602
194,117.708
195,156.122
196,146.483
197,154.140
198,136.924
199,151.826
200,147.948
201,114.097
202,145.593
203,161.636
204,146.239
205,163.604
206,179.541
207,123.880
208,154.753
209,127.232
210,148.000
211,171.947
212,169.691
213,162.772
214,178.675
215,181.883
216,162.881
217,178.298
218,188.807
219,180.259
220,178.744
221,172.705
222,178.006
223,117.716
224,156.677
225,170.962
226,148.995
227,179.842
228,169.713
229,165.072
230,179.520
231,155.140
232,165.496
233,178.548
234,157.322
235,151.734
236,157.039
237,152.520
238,154.792
239,149.674
240,173.418
241,168.392
242,170.075
243,183.039
