 ,Mean
1,176.855
2,166.392
3,172.168
4,178.592
5,169.539
6,172.281
7,174.231
8,179.080
9,155.670
10,66.255
11,183.492
12,134.659
13,175.832
14,159.284
15,108.500
16,189.372
17,87.038
18,136.711
19,160.254
20,98.872
21,176.457
22,181.462
23,187.202
24,154.523
25,166.964
26,137.159
27,147.929
28,187.115
29,164.444
30,183.036
31,176.086
32,164.829
33,176.422
34,166.335
35,170.639
36,141.789
37,175.222
38,173.094
39,82.272
40,172.322
41,159.042
42,156.448
43,140.625
44,182.908
45,171.468
46,177.083
47,170.788
48,170.000
49,145.305
50,161.652
51,157.350
52,71.166
53,167.639
54,141.759
55,122.130
56,93.475
57,138.773
58,139.145
59,167.172
60,166.919
61,161.183
62,139.401
63,131.152
64,101.301
65,118.272
66,95.000
67,160.546
68,127.755
69,133.695
70,153.099
71,167.424
72,137.956
73,158.078
74,155.555
75,92.040
76,163.860
77,90.966
78,110.194
79,127.947
80,132.423
81,148.222
82,144.369
83,130.992
84,159.593
85,94.099
86,132.548
87,123.926
88,140.178
89,152.642
90,137.635
91,170.356
92,109.953
93,129.334
94,141.649
95,121.975
96,117.793
97,169.112
98,134.126
99,152.558
100,164.453
101,160.367
102,177.517
103,158.366
104,140.139
105,140.217
106,167.792
107,150.066
108,38.007
109,161.693
110,134.438
111,130.812
112,170.822
113,181.037
114,185.179
115,151.824
116,125.021
117,106.426
118,86.371
119,142.542
120,126.388
121,117.678
122,137.885
123,144.334
124,168.811
125,145.066
126,118.564
127,148.676
128,169.673
129,162.221
130,147.000
131,166.004
132,133.834
133,130.630
134,135.651
135,147.518
136,182.822
137,137.452
138,171.118
139,181.402
140,167.493
141,166.644
142,154.082
143,178.782
144,145.772
145,148.473
146,159.094
147,81.632
148,152.582
149,171.848
150,193.841
151,143.502
152,155.257
153,137.214
154,158.061
155,141.956
156,145.243
157,138.420
158,162.588
159,180.094
160,109.758
161,125.939
162,143.884
163,83.260
164,129.737
165,80.325
166,91.268
167,111.064
168,173.677
169,157.800
170,183.773
171,132.507
172,117.372
173,153.769
174,118.476
175,171.656
176,158.133
177,142.564
178,176.402
179,129.029
180,206.256
181,159.943
182,114.253
183,142.116
184,139.153
185,141.413
186,158.273
187,167.653
188,91.442
189,142.312
190,150.239
191,190.587
192,129.850
193,161.836
194,141.074
195,153.567
196,154.416
197,146.749
198,138.309
199,138.457
200,143.687
201,153.738
202,176.860
203,158.641
204,128.750
205,162.096
206,149.551
207,141.490
208,166.593
209,131.264
210,152.924
211,164.043
212,175.592
213,164.918
214,172.118
215,168.900
216,103.851
217,120.551
218,152.542
219,133.515
220,110.612
221,144.710
222,112.804
223,155.022
224,174.506
225,126.838
226,128.430
227,160.685
228,144.811
229,136.887
230,154.347
231,145.510
232,157.540
233,105.136
234,155.767
235,141.955
236,113.451
237,163.818
238,143.066
239,127.814
240,114.079
241,134.906
242,182.645
243,150.306
244,75.716
245,142.399
246,131.828
247,143.915
248,123.240
249,148.113
250,172.295
251,108.663
252,102.600
253,126.499
254,160.065
255,46.487
256,142.636
257,135.169
258,162.128
259,156.955
260,140.827
261,146.043
262,189.508
263,102.091
264,175.896
265,154.634
266,173.719
267,138.559
268,140.270
269,152.436
270,131.408
271,162.947
272,131.201
273,168.887
274,109.479
275,124.109
276,152.671
277,171.633
278,121.847
279,133.804
280,151.596
281,176.609
282,143.192
283,142.396
284,169.410
285,133.210
286,139.967
287,158.315
288,129.696
289,110.983
290,168.566
291,110.779
292,151.038
293,171.660
294,170.541
295,181.515
296,161.414
297,143.676
298,160.093
299,96.535
300,133.374
301,111.301
302,164.812
303,77.409
