 ,Label,Area,Perim.,Circ.,IntDen,RawIntDen,AR,Round,Solidity,target
1,colony_1.tiff,909,113.397,0.888,231795,231795,1.257,0.796,0.956,0
2,colony_10.tiff,1253,135.439,0.858,319515,319515,1.504,0.665,0.96,0
3,colony_100.tiff,1336,141.095,0.843,340680,340680,1.345,0.744,0.941,0
4,colony_101.tiff,2081,172.409,0.88,530655,530655,1.318,0.758,0.968,0
5,colony_102.tiff,1558,156.167,0.803,397290,397290,1.642,0.609,0.949,0
6,colony_103.tiff,1445,152.066,0.785,368475,368475,2.022,0.494,0.959,0
7,colony_104.tiff,1235,151.681,0.675,314925,314925,2.372,0.422,0.93,0
8,colony_105.tiff,1783,163.924,0.834,454665,454665,1.459,0.685,0.958,0
9,colony_106.tiff,2015,170.409,0.872,513825,513825,1.317,0.759,0.966,0
10,colony_107.tiff,1982,172.752,0.835,505410,505410,1.6,0.625,0.966,0
11,colony_108.tiff,1854,163.681,0.87,472770,472770,1.362,0.734,0.969,0
12,colony_109.tiff,1835,163.924,0.858,467925,467925,1.475,0.678,0.965,0
13,colony_11.tiff,1647,153.782,0.875,419985,419985,1.296,0.772,0.964,0
14,colony_110.tiff,1224,131.196,0.894,312120,312120,1.352,0.74,0.965,0
15,colony_111.tiff,1185,128.953,0.895,302175,302175,1.135,0.881,0.956,0
16,colony_112.tiff,1529,147.095,0.888,389895,389895,1.322,0.756,0.964,0
17,colony_113.tiff,1862,160.853,0.904,474810,474810,1.147,0.872,0.97,0
18,colony_114.tiff,1544,232.936,0.358,393720,393720,1.268,0.789,0.814,0
19,colony_115.tiff,1438,143.196,0.881,366690,366690,1.386,0.722,0.967,0
20,colony_116.tiff,1203,133.196,0.852,306765,306765,1.574,0.635,0.962,0
21,colony_117.tiff,2739,196.752,0.889,698445,698445,1.191,0.839,0.948,0
22,colony_118.tiff,1134,130.024,0.843,289170,289170,1.544,0.648,0.955,0
23,colony_119.tiff,1722,155.924,0.89,439110,439110,1.136,0.88,0.963,0
24,colony_12.tiff,1449,151.196,0.797,369495,369495,1.659,0.603,0.944,0
25,colony_120.tiff,1804,161.681,0.867,460020,460020,1.428,0.7,0.967,0
26,colony_121.tiff,2150,178.167,0.851,548250,548250,1.526,0.655,0.968,0
27,colony_122.tiff,1580,154.61,0.831,402900,402900,1.503,0.665,0.944,0
28,colony_123.tiff,1810,164.409,0.841,461550,461550,1.434,0.698,0.949,0
29,colony_124.tiff,1366,140.368,0.871,348330,348330,1.372,0.729,0.964,0
30,colony_125.tiff,3799,233.966,0.872,968745,968745,1.162,0.861,0.97,0
31,colony_126.tiff,1675,155.681,0.868,427125,427125,1.271,0.787,0.956,0
