 ,Label,Area,Perim.,Circ.,IntDen,RawIntDen,AR,Round,Solidity,target
1,colony_1.tiff,2047,171.681,0.873,521985,521985,1.408,0.71,0.97,1
2,colony_10.tiff,2642,196.652,0.859,673710,673710,1.401,0.714,0.97,1
3,colony_100.tiff,1520,144.61,0.913,387600,387600,1.197,0.836,0.969,1
4,colony_1000.tiff,2136,175.48,0.872,544680,544680,1.188,0.842,0.949,1
5,colony_1001.tiff,1585,177.095,0.635,404175,404175,1.21,0.826,0.851,1
6,colony_1002.tiff,1644,160.51,0.802,419220,419220,1.591,0.629,0.95,1
7,colony_1003.tiff,2093,185.439,0.765,533715,533715,1.323,0.756,0.863,1
8,colony_1004.tiff,2835,203.723,0.858,722925,722925,1.21,0.826,0.955,1
9,colony_1005.tiff,2207,177.823,0.877,562785,562785,1.327,0.754,0.97,1
10,colony_1006.tiff,1917,174.125,0.795,488835,488835,1.841,0.543,0.967,1
11,colony_1007.tiff,1721,161.581,0.828,438855,438855,1.282,0.78,0.947,1
12,colony_1008.tiff,1638,158.267,0.822,417690,417690,1.519,0.658,0.942,1
13,colony_1009.tiff,1682,172.853,0.707,428910,428910,1.511,0.662,0.885,1
14,colony_101.tiff,2261,180.995,0.867,576555,576555,1.372,0.729,0.968,1
15,colony_1010.tiff,960,140.953,0.607,244800,244800,1.538,0.65,0.841,1
16,colony_1011.tiff,1795,167.782,0.801,457725,457725,1.688,0.592,0.959,1
17,colony_1012.tiff,1581,227.522,0.384,403155,403155,1.319,0.758,0.839,1
18,colony_1013.tiff,2401,211.238,0.676,612255,612255,1.637,0.611,0.877,1
19,colony_1014.tiff,1805,164.995,0.833,460275,460275,1.215,0.823,0.948,1
20,colony_1015.tiff,1694,159.196,0.84,431970,431970,1.412,0.708,0.95,1
21,colony_1016.tiff,2134,195.924,0.699,544170,544170,2.083,0.48,0.918,1
22,colony_1017.tiff,1389,173.581,0.579,354195,354195,3.017,0.331,0.917,1
23,colony_1018.tiff,1405,142.368,0.871,358275,358275,1.234,0.81,0.933,1
24,colony_1019.tiff,2501,198.752,0.796,637755,637755,1.338,0.747,0.899,1
25,colony_102.tiff,1582,176.368,0.639,403410,403410,2.774,0.361,0.941,1
26,colony_1020.tiff,1873,168.167,0.832,477615,477615,1.463,0.683,0.944,1
27,colony_1021.tiff,2839,203.137,0.865,723945,723945,1.419,0.705,0.973,1
28,colony_1022.tiff,1359,168.652,0.6,346545,346545,1.725,0.58,0.85,1
