 ,Label,Area,Perim.,Circ.,IntDen,RawIntDen,AR,Round,Solidity
1,7 pat OD ki67 (561)_0001_C001T001_colony_1.tiff,2370,184.752,0.873,604350,604350,1.356,0.738,0.972
2,7 pat OD ki67 (561)_0001_C001T001_colony_10.tiff,2336,185.338,0.855,595680,595680,1.471,0.680,0.972
3,7 pat OD ki67 (561)_0001_C001T001_colony_11.tiff,4305,244.794,0.903,1097775,1097775,1.163,0.860,0.978
4,7 pat OD ki67 (561)_0001_C001T001_colony_12.tiff,3556,221.966,0.907,906780,906780,1.156,0.865,0.978
5,7 pat OD ki67 (561)_0001_C001T001_colony_13.tiff,2454,185.581,0.895,625770,625770,1.194,0.837,0.973
6,7 pat OD ki67 (561)_0001_C001T001_colony_14.tiff,2393,183.581,0.892,610215,610215,1.216,0.823,0.971
7,7 pat OD ki67 (561)_0001_C001T001_colony_15.tiff,2355,183.095,0.883,600525,600525,1.335,0.749,0.974
8,7 pat OD ki67 (561)_0001_C001T001_colony_16.tiff,2399,182.409,0.906,611745,611745,1.139,0.878,0.971
9,7 pat OD ki67 (561)_0001_C001T001_colony_17.tiff,1942,168.752,0.857,495210,495210,1.417,0.706,0.964
10,7 pat OD ki67 (561)_0001_C001T001_colony_18.tiff,2864,202.894,0.874,730320,730320,1.276,0.784,0.971
11,7 pat OD ki67 (561)_0001_C001T001_colony_19.tiff,2793,199.823,0.879,712215,712215,1.258,0.795,0.972
12,7 pat OD ki67 (561)_0001_C001T001_colony_2.tiff,2166,176.409,0.875,552330,552330,1.337,0.748,0.968
13,7 pat OD ki67 (561)_0001_C001T001_colony_20.tiff,2999,208.551,0.866,764745,764745,1.339,0.747,0.969
14,7 pat OD ki67 (561)_0001_C001T001_colony_21.tiff,2466,187.338,0.883,628830,628830,1.158,0.864,0.971
15,7 pat OD ki67 (561)_0001_C001T001_colony_22.tiff,2164,173.095,0.908,551820,551820,1.122,0.891,0.973
16,7 pat OD ki67 (561)_0001_C001T001_colony_23.tiff,1710,155.782,0.885,436050,436050,1.300,0.769,0.968
17,7 pat OD ki67 (561)_0001_C001T001_colony_24.tiff,1995,170.894,0.858,508725,508725,1.517,0.659,0.968
18,7 pat OD ki67 (561)_0001_C001T001_colony_3.tiff,1925,165.681,0.881,490875,490875,1.278,0.783,0.966
19,7 pat OD ki67 (561)_0001_C001T001_colony_4.tiff,2537,188.510,0.897,646935,646935,1.116,0.896,0.972
20,7 pat OD ki67 (561)_0001_C001T001_colony_5.tiff,2263,178.167,0.896,577065,577065,1.159,0.863,0.971
